"","x"
"1","1006_1"
"2","1006_2"
"3","1006_3"
"4","1008_1"
"5","1008_2"
"6","1008_3"
"7","1017_1"
"8","1017_2"
"9","1017_3"
"10","1024_1"
"11","1024_2"
"12","1024_3"
"13","2076_1"
"14","2076_2"
"15","2076_3"
"16","2005_1"
"17","2005_2"
"18","2005_3"
"19","1078_1"
"20","1078_2"
"21","1078_3"
"22","1095_1"
"23","1095_2"
"24","1095_3"
"25","2009_1"
"26","2009_2"
"27","2009_3"
"28","2251_1"
"29","2251_2"
"30","2251_3"
"31","1108_1"
"32","1108_2"
"33","1108_3"
"34","1123_1"
"35","1123_2"
"36","1123_3"
"37","2008_1"
"38","2008_2"
"39","2008_3"
"40","1128_1"
"41","1128_2"
"42","1128_3"
"43","2208_1"
"44","2208_2"
"45","2208_3"
"46","2074_1"
"47","2074_2"
"48","2074_3"
"49","1134_1"
"50","1134_2"
"51","1134_3"
"52","2255_1"
"53","2255_2"
"54","2255_3"
"55","2040_1"
"56","2040_2"
"57","2040_3"
"58","2233_1"
"59","2233_2"
"60","2233_3"
"61","2083_1"
"62","2083_2"
"63","2083_3"
"64","1177_1"
"65","1177_2"
"66","1177_3"
"67","2158_1"
"68","2158_2"
"69","2158_3"
"70","2203_1"
"71","2203_2"
"72","2203_3"
"73","1201_1"
"74","1201_2"
"75","1201_3"
"76","1210_1"
"77","1210_2"
"78","1210_3"
"79","2183_1"
"80","2183_2"
"81","2183_3"
"82","1229_1"
"83","1229_2"
"84","1229_3"
"85","2022_1"
"86","2022_2"
"87","2022_3"
"88","2272_1"
"89","2272_2"
"90","2272_3"
"91","1233_1"
"92","1233_2"
"93","1233_3"
"94","2209_1"
"95","2209_2"
"96","2209_3"
"97","1239_1"
"98","1239_2"
"99","1239_3"
"100","1246_1"
"101","1246_2"
"102","1246_3"
"103","1248_1"
"104","1248_2"
"105","1248_3"
"106","1253_1"
"107","1253_2"
"108","1253_3"
"109","2035_1"
"110","2035_2"
"111","2035_3"
"112","1262_1"
"113","1262_2"
"114","1262_3"
"115","2001_1"
"116","2001_2"
"117","2001_3"
"118","2237_1"
"119","2237_2"
"120","2237_3"
"121","2152_1"
"122","2152_2"
"123","2152_3"
"124","2107_1"
"125","2107_2"
"126","2107_3"
"127","2030_1"
"128","2030_2"
"129","2030_3"
"130","1063_1"
"131","1063_2"
"132","1063_3"
"133","1075_1"
"134","1075_2"
"135","1075_3"
"136","2071_1"
"137","2071_2"
"138","2071_3"
"139","2195_1"
"140","2195_2"
"141","2195_3"
"142","1099_1"
"143","1099_2"
"144","1099_3"
"145","1105_1"
"146","1105_2"
"147","1105_3"
"148","2224_1"
"149","2224_2"
"150","2224_3"
"151","2219_1"
"152","2219_2"
"153","2219_3"
"154","1124_1"
"155","1124_2"
"156","1124_3"
"157","2052_1"
"158","2052_2"
"159","2052_3"
"160","1130_1"
"161","1130_2"
"162","1130_3"
"163","1132_1"
"164","1132_2"
"165","1132_3"
"166","2221_1"
"167","2221_2"
"168","2221_3"
"169","1135_1"
"170","1135_2"
"171","1135_3"
"172","1140_1"
"173","1140_2"
"174","1140_3"
"175","1143_1"
"176","1143_2"
"177","1143_3"
"178","1153_1"
"179","1153_2"
"180","1153_3"
"181","2138_1"
"182","2138_2"
"183","2138_3"
"184","1183_1"
"185","1183_2"
"186","1183_3"
"187","1189_1"
"188","1189_2"
"189","1189_3"
"190","2167_1"
"191","2167_2"
"192","2167_3"
"193","2215_1"
"194","2215_2"
"195","2215_3"
"196","1215_1"
"197","1215_2"
"198","1215_3"
"199","2135_1"
"200","2135_2"
"201","2135_3"
"202","1230_1"
"203","1230_2"
"204","1230_3"
"205","1232_1"
"206","1232_2"
"207","1232_3"
"208","2003_1"
"209","2003_2"
"210","2003_3"
"211","1237_1"
"212","1237_2"
"213","1237_3"
"214","2242_1"
"215","2242_2"
"216","2242_3"
"217","2147_1"
"218","2147_2"
"219","2147_3"
"220","2269_1"
"221","2269_2"
"222","2269_3"
"223","2119_1"
"224","2119_2"
"225","2119_3"
"226","1255_1"
"227","1255_2"
"228","1255_3"
"229","2212_1"
"230","2212_2"
"231","2212_3"
"232","1268_1"
"233","1268_2"
"234","1268_3"
