"","x"
"1","1006_1"
"2","1006_2"
"3","1006_3"
"4","1010_1"
"5","1010_2"
"6","1010_3"
"7","1012_1"
"8","1012_2"
"9","1012_3"
"10","1020_1"
"11","1020_2"
"12","1020_3"
"13","2046_1"
"14","2046_2"
"15","2046_3"
"16","1025_1"
"17","1025_2"
"18","1025_3"
"19","1033_1"
"20","1033_2"
"21","1033_3"
"22","1053_1"
"23","1053_2"
"24","1053_3"
"25","2076_1"
"26","2076_2"
"27","2076_3"
"28","1069_1"
"29","1069_2"
"30","1069_3"
"31","2005_1"
"32","2005_2"
"33","2005_3"
"34","1077_1"
"35","1077_2"
"36","1077_3"
"37","2011_1"
"38","2011_2"
"39","2011_3"
"40","2185_1"
"41","2185_2"
"42","2185_3"
"43","2065_1"
"44","2065_2"
"45","2065_3"
"46","2161_1"
"47","2161_2"
"48","2161_3"
"49","1104_1"
"50","1104_2"
"51","1104_3"
"52","2084_1"
"53","2084_2"
"54","2084_3"
"55","2240_1"
"56","2240_2"
"57","2240_3"
"58","2248_1"
"59","2248_2"
"60","2248_3"
"61","2187_1"
"62","2187_2"
"63","2187_3"
"64","2040_1"
"65","2040_2"
"66","2040_3"
"67","2226_1"
"68","2226_2"
"69","2226_3"
"70","1149_1"
"71","1149_2"
"72","1149_3"
"73","1158_1"
"74","1158_2"
"75","1158_3"
"76","1159_1"
"77","1159_2"
"78","1159_3"
"79","1160_1"
"80","1160_2"
"81","1160_3"
"82","2042_1"
"83","2042_2"
"84","2042_3"
"85","1171_1"
"86","1171_2"
"87","1171_3"
"88","1177_1"
"89","1177_2"
"90","1177_3"
"91","2021_1"
"92","2021_2"
"93","2021_3"
"94","1201_1"
"95","1201_2"
"96","1201_3"
"97","1205_1"
"98","1205_2"
"99","1205_3"
"100","2018_1"
"101","2018_2"
"102","2018_3"
"103","2022_1"
"104","2022_2"
"105","2022_3"
"106","2186_1"
"107","2186_2"
"108","2186_3"
"109","1266_1"
"110","1266_2"
"111","1266_3"
"112","2237_1"
"113","2237_2"
"114","2237_3"
"115","2168_1"
"116","2168_2"
"117","2168_3"
"118","2090_1"
"119","2090_2"
"120","2090_3"
"121","2222_1"
"122","2222_2"
"123","2222_3"
"124","1022_1"
"125","1022_2"
"126","1022_3"
"127","2157_1"
"128","2157_2"
"129","2157_3"
"130","2058_1"
"131","2058_2"
"132","2058_3"
"133","2214_1"
"134","2214_2"
"135","2214_3"
"136","1063_1"
"137","1063_2"
"138","1063_3"
"139","2050_1"
"140","2050_2"
"141","2050_3"
"142","1075_1"
"143","1075_2"
"144","1075_3"
"145","2228_1"
"146","2228_2"
"147","2228_3"
"148","1086_1"
"149","1086_2"
"150","1086_3"
"151","1090_1"
"152","1090_2"
"153","1090_3"
"154","1092_1"
"155","1092_2"
"156","1092_3"
"157","1101_1"
"158","1101_2"
"159","1101_3"
"160","2068_1"
"161","2068_2"
"162","2068_3"
"163","1110_1"
"164","1110_2"
"165","1110_3"
"166","1111_1"
"167","1111_2"
"168","1111_3"
"169","1127_1"
"170","1127_2"
"171","1127_3"
"172","1129_1"
"173","1129_2"
"174","1129_3"
"175","1140_1"
"176","1140_2"
"177","1140_3"
"178","1146_1"
"179","1146_2"
"180","1146_3"
"181","2125_1"
"182","2125_2"
"183","2125_3"
"184","2159_1"
"185","2159_2"
"186","2159_3"
"187","2144_1"
"188","2144_2"
"189","2144_3"
"190","2102_1"
"191","2102_2"
"192","2102_3"
"193","1165_1"
"194","1165_2"
"195","1165_3"
"196","2164_1"
"197","2164_2"
"198","2164_3"
"199","2138_1"
"200","2138_2"
"201","2138_3"
"202","1193_1"
"203","1193_2"
"204","1193_3"
"205","2167_1"
"206","2167_2"
"207","2167_3"
"208","2126_1"
"209","2126_2"
"210","2126_3"
"211","1223_1"
"212","1223_2"
"213","1223_3"
"214","1230_1"
"215","1230_2"
"216","1230_3"
"217","1240_1"
"218","1240_2"
"219","1240_3"
"220","2023_1"
"221","2023_2"
"222","2023_3"
