"","x"
"1","2047_1"
"2","2047_2"
"3","2047_3"
"4","1004_1"
"5","1004_2"
"6","1004_3"
"7","1006_1"
"8","1006_2"
"9","1006_3"
"10","2099_1"
"11","2099_2"
"12","2099_3"
"13","1027_1"
"14","1027_2"
"15","1027_3"
"16","2044_1"
"17","2044_2"
"18","2044_3"
"19","2015_1"
"20","2015_2"
"21","2015_3"
"22","2137_1"
"23","2137_2"
"24","2137_3"
"25","2111_1"
"26","2111_2"
"27","2111_3"
"28","1061_1"
"29","1061_2"
"30","1061_3"
"31","2173_1"
"32","2173_2"
"33","2173_3"
"34","1072_1"
"35","1072_2"
"36","1072_3"
"37","2011_1"
"38","2011_2"
"39","2011_3"
"40","1093_1"
"41","1093_2"
"42","1093_3"
"43","1097_1"
"44","1097_2"
"45","1097_3"
"46","2070_1"
"47","2070_2"
"48","2070_3"
"49","2025_1"
"50","2025_2"
"51","2025_3"
"52","1161_1"
"53","1161_2"
"54","1161_3"
"55","2201_1"
"56","2201_2"
"57","2201_3"
"58","1170_1"
"59","1170_2"
"60","1170_3"
"61","1172_1"
"62","1172_2"
"63","1172_3"
"64","1173_1"
"65","1173_2"
"66","1173_3"
"67","1179_1"
"68","1179_2"
"69","1179_3"
"70","1188_1"
"71","1188_2"
"72","1188_3"
"73","2239_1"
"74","2239_2"
"75","2239_3"
"76","1206_1"
"77","1206_2"
"78","1206_3"
"79","1209_1"
"80","1209_2"
"81","1209_3"
"82","1210_1"
"83","1210_2"
"84","1210_3"
"85","2183_1"
"86","2183_2"
"87","2183_3"
"88","1216_1"
"89","1216_2"
"90","1216_3"
"91","1217_1"
"92","1217_2"
"93","1217_3"
"94","1221_1"
"95","1221_2"
"96","1221_3"
"97","1251_1"
"98","1251_2"
"99","1251_3"
"100","2132_1"
"101","2132_2"
"102","2132_3"
"103","1262_1"
"104","1262_2"
"105","1262_3"
"106","2080_1"
"107","2080_2"
"108","2080_3"
"109","2001_1"
"110","2001_2"
"111","2001_3"
"112","1270_1"
"113","1270_2"
"114","1270_3"
"115","1003_1"
"116","1003_2"
"117","1003_3"
"118","2057_1"
"119","2057_2"
"120","2057_3"
"121","2237_1"
"122","2237_2"
"123","2237_3"
"124","1009_1"
"125","1009_2"
"126","1009_3"
"127","2063_1"
"128","2063_2"
"129","2063_3"
"130","1037_1"
"131","1037_2"
"132","1037_3"
"133","1038_1"
"134","1038_2"
"135","1038_3"
"136","1046_1"
"137","1046_2"
"138","1046_3"
"139","1050_1"
"140","1050_2"
"141","1050_3"
"142","2162_1"
"143","2162_2"
"144","2162_3"
"145","1070_1"
"146","1070_2"
"147","1070_3"
"148","2121_1"
"149","2121_2"
"150","2121_3"
"151","1086_1"
"152","1086_2"
"153","1086_3"
"154","2175_1"
"155","2175_2"
"156","2175_3"
"157","2059_1"
"158","2059_2"
"159","2059_3"
"160","1118_1"
"161","1118_2"
"162","1118_3"
"163","1142_1"
"164","1142_2"
"165","1142_3"
"166","2250_1"
"167","2250_2"
"168","2250_3"
"169","1169_1"
"170","1169_2"
"171","1169_3"
"172","2086_1"
"173","2086_2"
"174","2086_3"
"175","2016_1"
"176","2016_2"
"177","2016_3"
"178","2122_1"
"179","2122_2"
"180","2122_3"
"181","2048_1"
"182","2048_2"
"183","2048_3"
"184","2024_1"
"185","2024_2"
"186","2024_3"
"187","1192_1"
"188","1192_2"
"189","1192_3"
"190","2188_1"
"191","2188_2"
"192","2188_3"
"193","2109_1"
"194","2109_2"
"195","2109_3"
"196","2215_1"
"197","2215_2"
"198","2215_3"
"199","1215_1"
"200","1215_2"
"201","1215_3"
"202","2207_1"
"203","2207_2"
"204","2207_3"
"205","2060_1"
"206","2060_2"
"207","2060_3"
"208","2231_1"
"209","2231_2"
"210","2231_3"
"211","2244_1"
"212","2244_2"
"213","2244_3"
"214","1259_1"
"215","1259_2"
"216","1259_3"
"217","2212_1"
"218","2212_2"
"219","2212_3"
"220","1265_1"
"221","1265_2"
"222","1265_3"
"223","1268_1"
"224","1268_2"
"225","1268_3"
"226","2087_1"
"227","2087_2"
"228","2087_3"
