0,1,2,3,4,5
2,0,3,4,1,16
6,5,25,17,10,18
8,7,37,29,24,20
11,9,56,32,30,23
13,12,57,34,39,31
19,14,63,35,42,50
21,15,67,36,53,70
27,22,69,38,58,75
28,26,73,40,59,77
33,43,78,41,65,80
45,52,79,44,68,88
46,60,83,47,82,91
48,66,84,49,108,93
51,76,90,61,109,94
54,92,101,81,113,111
55,95,102,85,114,118
62,96,122,89,125,124
64,97,129,98,132,133
71,106,130,99,138,140
72,107,143,100,146,142
74,112,144,103,148,150
86,116,153,104,173,152
87,120,164,105,182,162
110,126,165,115,185,163
119,127,172,117,191,166
135,128,176,121,204,169
136,134,180,123,205,170
151,139,186,131,206,171
156,154,190,137,212,174
157,155,195,141,222,177
168,160,202,145,226,178
183,175,208,147,230,184
200,181,211,149,233,187
203,188,218,158,236,193
214,192,220,159,238,194
216,207,235,161,239,197
219,213,240,167,247,201
223,215,246,179,248,209
227,217,254,189,261,210
228,224,258,196,267,225
232,234,259,198,270,245
237,243,263,199,272,249
241,250,265,221,276,256
242,252,269,229,282,257
260,253,273,231,293,264
271,255,278,244,296,268
275,262,284,251,297,274
283,279,287,266,298,280
285,294,288,277,300,302
286,301,290,281,303,307
295,304,291,289,305,310
306,309,299,292,308,311
