0,1,2,3,4,5
3,7,2,4,0,1
9,11,8,5,13,15
10,16,18,6,21,23
34,20,26,12,24,28
41,31,29,14,30,42
43,32,48,17,33,44
49,37,52,19,35,54
51,38,64,22,36,62
53,40,65,25,45,77
55,56,82,27,46,80
59,57,87,39,50,86
66,63,104,47,58,90
68,72,109,60,67,91
83,73,110,61,74,92
88,81,117,69,75,93
99,84,121,70,78,95
100,94,124,71,79,102
107,96,127,76,85,103
135,105,132,89,97,106
136,108,133,101,98,111
142,114,137,113,115,112
143,118,139,116,125,120
146,128,157,119,131,122
149,144,167,123,134,129
153,145,172,126,138,140
162,152,177,130,147,148
163,156,180,141,155,150
166,158,189,151,170,165
176,159,191,154,174,173
190,160,197,164,178,179
194,161,201,169,183,181
199,168,215,182,184,186
206,171,217,188,187,198
218,175,226,192,193,210
225,185,230,195,196,214
227,200,238,203,211,219
233,202,240,205,212,228
234,204,243,208,213,237
241,207,252,209,220,245
244,229,255,216,221,254
247,231,258,224,222,259
251,232,264,239,223,260
257,235,265,246,236,268
261,242,267,249,248,272
262,266,279,250,256,274
263,269,287,253,270,275
271,278,290,273,281,276
284,280,291,277,283,282
286,285,292,293,294,296
295,288,299,298,297,301
302,289,306,305,300,303
309,310,308,311,304,307
