0,1,2,3,4,5
0,1,3,9,2,8
5,4,10,13,6,16
27,11,14,15,7,18
29,17,22,20,12,19
53,21,24,26,23,25
69,36,31,28,30,33
70,44,32,38,34,45
72,46,35,43,39,49
74,48,37,47,61,58
85,54,40,50,62,75
90,55,41,52,66,82
94,59,42,60,91,86
95,63,51,67,103,92
97,68,56,71,122,96
100,73,57,81,126,98
104,76,64,83,136,99
105,79,65,84,138,102
115,80,77,88,141,107
123,87,78,101,145,111
124,106,89,118,148,112
127,109,93,128,157,117
133,113,108,130,164,121
135,114,110,131,166,132
140,120,116,147,167,144
142,125,119,152,180,159
151,129,137,156,190,165
153,134,139,161,203,169
160,143,149,172,209,171
163,146,150,175,214,176
168,155,154,178,215,179
186,177,158,181,228,185
191,182,162,183,234,199
196,193,170,184,237,208
201,197,173,187,241,211
205,206,174,188,243,219
213,210,192,189,245,222
218,227,200,194,253,223
220,238,202,195,254,224
226,248,207,198,258,225
251,250,216,204,261,233
252,257,217,212,264,239
255,268,230,221,265,240
256,272,236,229,274,244
263,273,247,231,277,246
269,284,259,232,283,249
280,287,262,235,294,266
281,289,271,242,295,270
285,292,276,260,303,279
288,293,278,267,307,286
290,297,282,275,309,296
298,302,291,299,310,304
300,308,301,305,311,306
