Accession,group1,group2
SSA_151,1001,2246
SSA_045,1002,2121
SSA_369,1003,2267
SSA_253,2216,1004
SSA_313,1005,2050
SSA_134,2236,1006
SSA_004,1007,2063
SSA_307,2284,1008
SSA_293,2141,1009
SSA_008,2227,1010
SSA_154,2221,1011
SSA_263,1012,2107
SSA_240,2067,1013
SSA_017,1014,2192
SSA_111,1015,2303
SSA_162,1016,2131
SSA_258,2086,1017
SSA_098,1018,2120
SSA_302,1019,2264
SSA_120,2202,1020
SSA_093,2022,1021
SSA_199,2130,1022
SSA_201,2197,1023
SSA_044,1024,2155
SSA_243,1025,2034
SSA_214,1026,2175
SSA_299,1027,2320
SSA_236,2248,1028
SSA_064,1029,2215
SSA_264,1030,2233
SSA_078,1031,2051
SSA_338,1032,2286
SSA_048,2305,1033
SSA_041,2148,1034
SSA_122,2179,1035
SSA_016,1036,2048
SSA_001,1037,2161
SSA_278,2004,1038
SSA_301,2015,1039
SSA_130,1040,2078
SSA_287,2252,1041
SSA_186,2077,1042
SSA_076,1043,2151
SSA_025,2310,1044
SSA_341,1045,2163
SSA_018,1046,2016
SSA_155,1047,2036
SSA_114,2041,1048
SSA_081,1049,2219
SSA_308,1050,2186
SSA_194,1051,2142
SSA_277,2089,1052
SSA_297,2276,1053
SSA_279,1054,2289
SSA_314,1055,2068
SSA_043,2302,1056
SSA_037,1057,2217
SSA_265,2071,1058
SSA_055,2090,1059
SSA_219,1060,2139
SSA_173,1061,2108
SSA_183,1062,2188
SSA_216,1063,2300
SSA_002,2226,1064
SSA_011,1065,2316
SSA_195,1066,2285
SSA_262,1067,2169
SSA_182,1068,2209
SSA_315,1069,2269
SSA_246,2243,1070
SSA_353,2055,1071
SSA_080,1072,2234
SSA_275,2115,1073
SSA_023,1074,2232
SSA_099,1075,2082
SSA_215,2261,1076
SSA_062,1077,2206
SSA_035,2023,1078
SSA_213,1079,2135
SSA_210,1080,2194
SSA_255,2265,1081
SSA_285,1082,2123
SSA_015,2160,1083
SSA_082,1084,2019
SSA_139,1085,2057
SSA_091,1086,2113
SSA_097,1087,2083
SSA_066,2258,1088
SSA_242,2106,1089
SSA_129,1090,2231
SSA_311,2140,1091
SSA_083,2203,1092
SSA_039,1093,2132
SSA_054,1094,2114
SSA_121,2259,1095
SSA_238,2198,1096
SSA_019,1097,2170
SSA_290,2043,1098
SSA_249,2213,1099
SSA_141,2317,1100
SSA_116,2312,1101
SSA_366,2255,1102
SSA_051,2166,1103
SSA_085,2040,1104
SSA_178,2296,1105
SSA_344,2278,1106
SSA_208,1107,2220
SSA_168,1108,2298
SSA_172,1109,2185
SSA_013,1110,2065
SSA_090,1111,2096
SSA_143,1112,2097
SSA_187,2297,1113
SSA_126,2228,1114
SSA_174,1115,2144
SSA_300,2191,1116
SSA_305,1117,2136
SSA_166,2111,1118
SSA_227,1119,2069
SSA_272,1120,2205
SSA_288,2304,1121
SSA_200,2105,1122
SSA_161,1123,2260
SSA_191,1124,2200
SSA_244,2225,1125
SSA_119,2129,1126
SSA_147,2143,1127
SSA_386,1128,2208
SSA_150,2309,1129
SSA_235,2174,1130
SSA_207,2149,1131
SSA_282,1132,2167
SSA_138,1133,2254
SSA_170,1134,2038
SSA_135,2313,1135
SSA_103,2047,1136
SSA_241,2035,1137
SSA_102,1138,2253
SSA_250,1139,2045
SSA_112,1140,2152
SSA_056,2164,1141
SSA_228,1142,2308
SSA_007,1143,2172
SSA_317,1144,2013
SSA_233,1145,2085
SSA_144,2058,1146
SSA_060,1147,2126
SSA_252,1148,2268
SSA_033,2118,1149
SSA_218,1150,2154
SSA_113,2287,1151
SSA_226,1152,2024
SSA_284,2005,1153
SSA_100,1154,2184
SSA_046,2280,1155
SSA_110,1156,2292
SSA_049,1157,2104
SSA_077,1158,2010
SSA_034,2026,1159
SSA_286,2075,1160
SSA_010,2052,1161
SSA_088,1162,2281
SSA_038,2059,1163
SSA_380,2247,1164
SSA_006,2122,1165
SSA_196,1166,2272
SSA_127,1167,2084
SSA_359,2159,1168
SSA_271,2156,1169
SSA_068,1170,2235
SSA_149,1171,2060
SSA_171,1172,2244
SSA_145,2049,1173
SSA_259,2271,1174
SSA_204,2128,1175
SSA_108,1176,2283
SSA_239,2275,1177
SSA_101,1178,2290
SSA_310,1179,2008
SSA_003,1180,2095
SSA_075,1181,2177
SSA_403,1182,2223
SSA_283,1183,2025
SSA_131,2103,1184
SSA_367,2007,1185
SSA_014,2180,1186
SSA_274,2165,1187
SSA_105,2044,1188
SSA_294,2009,1189
SSA_030,1190,2146
SSA_289,2079,1191
SSA_223,2029,1192
SSA_188,1193,2017
SSA_095,2116,1194
SSA_197,2262,1195
SSA_193,1196,2204
SSA_084,2061,1197
SSA_059,1198,2158
SSA_212,2088,1199
SSA_032,2196,1200
SSA_159,1201,2093
SSA_009,1202,2066
SSA_137,2273,1203
SSA_343,2098,1204
SSA_071,1205,2001
SSA_291,2218,1206
SSA_063,2032,1207
SSA_316,2293,1208
SSA_050,1209,2224
SSA_181,1210,2250
SSA_229,2187,1211
SSA_303,1212,2070
SSA_040,2028,1213
SSA_089,1214,2277
SSA_225,1215,2091
SSA_053,1216,2101
SSA_254,2033,1217
SSA_295,1218,2291
SSA_376,2053,1219
SSA_057,1220,2240
SSA_152,2315,1221
SSA_022,1222,2176
SSA_061,1223,2307
SSA_202,1224,2210
SSA_203,1225,2241
SSA_087,1226,2251
SSA_273,1227,2037
SSA_156,2171,1228
SSA_221,1229,2239
SSA_012,2214,1230
SSA_179,2054,1231
SSA_177,1232,2318
SSA_354,1233,2193
SSA_245,2021,1234
SSA_304,1235,2263
SSA_185,1236,2081
SSA_209,1237,2124
SSA_106,2157,1238
SSA_052,1239,2117
SSA_096,2062,1240
SSA_148,2245,1241
SSA_164,1242,2237
SSA_072,1243,2056
SSA_067,2282,1244
SSA_128,2125,1245
SSA_267,2266,1246
SSA_296,2211,1247
SSA_146,1248,2314
SSA_070,2238,1249
SSA_024,2319,1250
SSA_234,2249,1251
SSA_281,2162,1252
SSA_123,2212,1253
SSA_073,1254,2039
SSA_189,2173,1255
SSA_176,2306,1256
SSA_125,1257,2229
SSA_142,2133,1258
SSA_058,1259,2190
SSA_312,1260,2195
SSA_220,1261,2201
SSA_157,2138,1262
