Accession,group1,group2
B1K-15-06,1001,2213
B1K-06-20,1002,2256
B1K-50-07,2047,1003
B1K-21-11,1004,2057
B1K-34-19,2019,1005
B1K-26-03,1006,2237
B1K-47-04,1007,2069
B1K-05-12,1008,2152
B1K-33-03,2099,1009
B1K-39-02,1010,2168
B1K-22-06,1011,2118
B1K-22-08,1012,2090
B1K-11-09,2002,1013
B1K-30-07,1014,2139
B1K-43-14,2200,1015
B1K-39-07,1016,2264
B1K-42-01,1017,2107
B1K-04-03,2254,1018
B1K-41-08,1019,2268
B1K-20-07,1020,2222
B1K-24-10,2189,1021
B1K-39-12,2046,1022
B1K-25-01,1023,2012
B1K-22-09,1024,2030
B1K-05-08,1025,2157
B1K-03-17,2092,1026
B1K-06-15,1027,2063
B1K-08-09,1028,2202
B1K-31-15,1029,2234
B1K-27-19,2127,1030
B1K-37-02,1031,2142
B1K-24-03,2169,1032
B1K-32-08,1033,2058
B1K-08-15,2181,1034
B1K-44-02,2113,1035
B1K-48-11,2066,1036
B1K-38-14,2044,1037
B1K-28-15,2015,1038
B1K-03-03,1039,2211
B1K-47-20,1040,2153
B1K-32-09,1041,2271
B1K-25-13,2252,1042
B1K-28-13,2172,1043
B1K-03-14,1044,2104
B1K-49-10,1045,2031
B1K-24-16,2137,1046
B1K-10-13,1047,2204
B1K-08-02,1048,2230
B1K-31-05,1049,2007
B1K-04-19,2111,1050
B1K-11-16,2177,1051
B1K-38-12,2088,1052
B1K-09-09,1053,2214
B1K-34-05,2149,1054
B1K-06-06,1055,2026
B1K-32-20,2036,1056
B1K-24-09,1057,2131
B1K-37-20,2198,1058
B1K-51-04,1059,2120
B1K-35-07,1060,2259
B1K-38-08,1061,2162
B1K-35-03,2051,1062
B1K-49-13,2076,1063
B1K-35-13,1064,2253
B1K-45-18,1065,2085
B1K-25-20,2150,1066
B1K-19-20,1067,2039
B1K-02-06,1068,2193
B1K-24-13,1069,2050
B1K-14-17,2173,1070
B1K-31-19,2101,1071
B1K-06-19,1072,2121
B1K-51-13,1073,2180
B1K-49-18,1074,2216
B1K-31-11,2005,1075
B1K-33-12,2246,1076
B1K-08-16,1077,2228
B1K-34-06,1078,2071
B1K-15-17,2267,1079
B1K-22-02,1080,2032
B1K-26-05,1081,2249
B1K-28-01,1082,2236
B1K-37-19,1083,2055
B1K-10-18,2082,1084
B1K-30-11,1085,2037
B1K-27-08,2011,1086
B1K-11-18,2114,1087
B1K-34-02,2029,1088
B1K-19-01,2108,1089
B1K-43-11,2185,1090
B1K-36-19,2134,1091
B1K-18-03,2065,1092
B1K-17-17,1093,2175
B1K-35-04,2266,1094
B1K-12-06,1095,2195
B1K-03-16,1096,2220
B1K-46-15,1097,2059
B1K-19-15,2130,1098
B1K-46-03,2009,1099
B1K-23-02,1100,2034
B1K-13-14,2161,1101
B1K-22-18,2182,1102
B1K-29-02,2151,1103
B1K-27-15,1104,2068
B1K-16-15,2251,1105
B1K-09-16,1106,2017
B1K-05-03,1107,2205
B1K-23-19,1108,2224
B1K-17-01,2116,1109
B1K-02-16,2084,1110
B1K-23-11,2240,1111
B1K-20-20,1112,2110
B1K-21-10,1113,2257
B1K-24-07,2194,1114
B1K-46-20,1115,2166
B1K-08-03,1116,2095
B1K-13-15,1117,2033
B1K-17-03,2070,1118
B1K-09-07,1119,2098
B1K-37-11,1120,2124
B1K-45-05,2235,1121
B1K-04-12,1122,2160
B1K-25-09,1123,2219
B1K-23-07,2008,1124
B1K-33-09,1125,2178
B1K-50-20,1126,2143
B1K-09-10,2248,1127
B1K-06-10,1128,2052
B1K-29-20,2187,1129
B1K-48-06,2208,1130
B1K-43-15,1131,2163
B1K-20-10,2074,1132
B1K-30-13,1133,2004
B1K-49-08,1134,2221
B1K-41-03,2255,1135
B1K-05-16,2094,1136
B1K-05-10,2061,1137
B1K-02-12,1138,2133
B1K-15-07,2106,1139
B1K-28-10,2040,1140
B1K-02-04,2146,1141
B1K-22-12,2025,1142
B1K-35-19,2233,1143
B1K-16-10,1144,2258
B1K-11-04,1145,2260
B1K-11-05,2226,1146
B1K-14-04,2191,1147
B1K-41-13,1148,2176
B1K-36-11,1149,2125
B1K-10-01,2028,1150
B1K-08-06,1151,2013
B1K-34-10,2038,1152
B1K-24-02,2083,1153
B1K-08-08,1154,2247
B1K-44-09,2218,1155
B1K-32-13,1156,2197
B1K-25-15,2077,1157
B1K-31-01,1158,2159
B1K-51-10,1159,2144
B1K-51-19,1160,2102
B1K-09-04,1161,2250
B1K-30-20,2265,1162
B1K-17-18,2103,1163
B1K-02-14,2062,1164
B1K-15-04,2042,1165
B1K-25-08,2192,1166
B1K-27-11,2072,1167
B1K-15-05,1168,2148
B1K-42-07,2201,1169
B1K-26-16,1170,2086
B1K-29-13,1171,2164
B1K-30-03,1172,2016
B1K-26-08,1173,2122
B1K-41-11,2136,1174
B1K-08-10,2227,1175
B1K-09-01,1176,2020
B1K-09-11,1177,2138
B1K-01-20,1178,2241
B1K-36-06,1179,2048
B1K-49-11,1180,2270
B1K-36-04,2067,1181
B1K-08-18,2097,1182
B1K-09-18,2158,1183
B1K-08-05,2128,1184
B1K-35-08,2081,1185
B1K-50-04,2190,1186
B1K-11-15,1187,2054
B1K-04-08,1188,2024
B1K-22-16,2203,1189
B1K-19-12,1190,2165
B1K-16-06,2210,1191
B1K-03-10,2239,1192
B1K-40-11,2021,1193
B1K-10-12,1194,2006
B1K-03-09,1195,2225
B1K-47-12,2049,1196
B1K-50-12,2245,1197
B1K-02-02,2096,1198
B1K-38-20,2105,1199
B1K-42-10,2217,1200
B1K-35-11,1201,2167
B1K-22-14,2043,1202
B1K-05-13,1203,2140
B1K-36-16,1204,2079
B1K-24-05,1205,2126
B1K-48-03,1206,2188
B1K-03-11,2261,1207
B1K-18-18,2154,1208
B1K-37-06,1209,2109
B1K-32-02,1210,2215
B1K-51-07,1211,2155
B1K-44-20,2091,1212
B1K-28-17,2141,1213
B1K-04-04,1214,2075
B1K-18-09,2183,1215
B1K-20-13,1216,2207
B1K-26-09,1217,2060
B1K-15-19,1218,2014
B1K-24-18,2115,1219
B1K-37-15,1220,2045
B1K-48-13,1221,2231
B1K-38-01,1222,2263
B1K-09-03,2018,1223
B1K-43-05,1224,2171
B1K-19-08,2112,1225
B1K-23-12,1226,2089
B1K-42-16,2238,1227
B1K-12-10,2123,1228
B1K-47-08,1229,2135
B1K-10-03,2022,1230
B1K-17-13,1231,2056
B1K-50-14,2272,1232
B1K-35-20,1233,2003
B1K-34-20,2078,1234
B1K-05-17,2156,1235
B1K-08-17,1236,2174
B1K-12-05,2209,1237
B1K-04-20,1238,2196
B1K-13-03,1239,2242
B1K-06-01,2186,1240
B1K-43-04,1241,2206
B1K-20-08,2093,1242
B1K-02-01,1243,2053
B1K-05-07,2184,1244
B1K-06-07,2027,1245
B1K-11-20,1246,2147
B1K-39-16,2129,1247
B1K-18-05,1248,2269
B1K-18-02,2073,1249
B1K-08-01,1250,2100
B1K-19-05,1251,2244
B1K-15-20,1252,2010
B1K-02-13,1253,2119
B1K-20-01,2229,1254
B1K-28-07,2035,1255
B1K-41-18,2223,1256
B1K-44-14,1257,2117
B1K-33-19,2170,1258
B1K-40-17,2132,1259
B1K-51-01,2041,1260
B1K-21-15,1261,2064
B1K-26-13,1262,2212
B1K-32-18,2179,1263
B1K-14-01,2243,1264
B1K-43-20,2080,1265
B1K-23-01,1266,2023
B1K-21-03,2199,1267
B1K-49-04,2001,1268
B1K-36-15,1269,2262
B1K-36-02,1270,2087
B1K-22-10,2232,1271
B1K-13-10,1272,2145
