Plot,Repeat,SLA
1101,1,206.4516129
1101,3,211.9205298
1199,1,205.1282051
1247,3,216.2162162
1101,2,202.5316456
1119,2,193.9393939
1141,1,190.4761905
1247,1,217.6870748
2020,2,240.6015038
1086,3,216.2162162
1276,3,203.8216561
1119,3,167.539267
1131,1,198.757764
1311,3,201.2578616
2020,1,231.884058
2020,3,214.7651007
1276,2,213.3333333
1251,2,220.6896552
2035,2,213.3333333
1029,1,203.8216561
1276,1,210.5263158
1085,3,217.6870748
1029,3,238.8059701
1021,1,242.4242424
1139,3,275.862069
1029,2,216.2162162
1085,2,207.7922078
1251,3,273.5042735
1195,2,246.1538462
1085,1,242.4242424
1251,1,244.2748092
1021,3,220.6896552
1283,1,220.6896552
1318,2,200
1195,3,268.907563
2035,1,193.9393939
1032,2,250
2011,1,266.6666667
1032,1,191.6167665
1152,2,220.6896552
1195,1,216.2162162
1139,1,179.020979
1032,3,203.8216561
2024,3,193.9393939
1140,2,242.4242424
1139,2,235.2941176
1152,1,206.4516129
1140,1,262.295082
1280,3,222.2222222
2057,1,262.295082
1001,3,240.6015038
2002,2,170.212766
1114,3,248.0620155
2273,3,280.7017544
2292,3,201.2578616
2041,3,248.5436893
2129,3,207.7922078
2002,3,191.6167665
2201,2,225.3521127
2273,2,299.0654206
2129,1,237.037037
2273,1,290.9090909
2201,3,173.9130435
2267,2,214.7651007
1008,1,253.968254
2040,3,216.2162162
2312,3,223.7762238
1096,1,211.9205298
1008,3,251.9685039
1184,3,275.862069
2078,1,248.0620155
2034,2,262.295082
2288,1,238.8059701
2252,2,264.4628099
2275,3,258.0645161
2026,3,206.4516129
1004,3,200
2226,2,200
2028,1,210.5263158
2267,3,214.7651007
1096,3,200
2312,1,253.968254
2226,1,231.884058
2226,3,248.0620155
2255,1,223.7762238
2129,2,268.907563
2292,1,250
1114,1,278.2608696
2078,3,196.3190184
2078,2,197.5308642
2034,3,217.6870748
1084,1,266.6666667
2028,2,230.2158273
2057,3,233.5766423
2041,1,217.6870748
2292,2,219.1780822
1084,3,307.6923077
2026,1,260.1626016
2275,2,262.295082
2241,3,264.4628099
2252,1,205.1282051
2241,2,258.0645161
2252,3,217.6870748
2241,1,225.3521127
1007,1,200
1007,3,250
1004,2,218.1818182
1010,1,203.1746032
2027,3,235.2941176
1010,3,219.1780822
1001,1,198.757764
2027,2,262.295082
1184,1,203.8216561
2034,1,225.3521127
2255,3,226.9503546
1114,2,238.8059701
2027,1,237.037037
1010,2,209.1503268
1004,1,214.7651007
2002,1,157.635468
1001,2,237.037037
1084,2,223.7762238
2255,2,262.295082
2057,2,216.2162162
2201,1,242.4242424
2267,1,209.1503268
2216,1,231.884058
1096,2,193.9393939
2216,3,268.907563
1008,2,226.9503546
2028,3,223.7762238
2275,1,223.7762238
1007,2,220.6896552
2026,2,242.4242424
2312,2,222.2222222
2040,1,203.8216561
2041,2,244.2748092
2216,2,242.4242424
2282,2,237.037037
2288,3,206.4516129
1184,2,230.2158273
2048,2,217.6870748
2294,3,226.9503546
2316,1,226.9503546
2289,2,192.7710843
1266,2,195.1219512
2092,2,275.862069
2294,1,214.7651007
2052,1,238.8059701
2162,1,259.4594595
1162,1,200
1081,3,228.5714286
1145,3,242.4242424
2313,3,206.4516129
2018,1,191.6167665
2052,2,222.2222222
1266,3,211.9205298
2162,2,222.2222222
2052,3,240.6015038
2162,3,290.9090909
2185,3,231.884058
2152,3,219.1780822
2243,3,268.907563
1017,1,225.3521127
1017,3,216.2162162
2049,1,228.5714286
2009,1,165.1612903
2012,1,242.4242424
1081,1,213.3333333
1017,2,253.968254
2018,3,201.2578616
2289,1,214.7651007
2289,3,225.3521127
1265,3,244.2748092
