"Plot","Repeat","A_maxCO2","CO2"
1056,1,36.7758397308751,1250.4
2187,3,35.663233705084,1250.06
2139,3,32.2455358897667,1250.32
1214,3,39.0669340865841,1250.46
1216,2,42.2258575214221,1249.99
2027,2,36.7150479753857,1250.05
2241,1,35.2723044259295,1250.24
2034,3,30.7739335017075,1249.9
2129,3,37.4988110209409,1249.89
2267,1,38.91993579671,1250.01
2026,3,46.175078217562,1250.23
2275,3,31.7787850905594,1399.89
1184,3,33.0482664609024,1399.89
1114,1,21.684168355941,1250
2074,3,41.4729504310668,1400.38
2249,3,42.8970746569136,1250.16
1017,1,40.9046783722145,1399.81
2012,2,32.4039533921922,1399.84
1098,2,17.5808131802264,1399.97
2049,2,33.1668408938448,1249.8
1081,2,36.7832760782027,1249.8
2005,3,34.0123266287815,1250
2011,3,87.6706389750176,1250.35
1271,1,46.9973490441911,1250.03
1139,1,22.4299799225537,1250.14
1085,2,50.3133279427116,1400.01
1259,1,43.8887458494374,1399.89
1140,3,24.9329977168941,1250.03
1141,1,27.7194995913786,1250.09
1280,3,41.0375387820713,1399.9
1086,2,35.9415497217415,1250.35
2183,3,25.8802641105521,1250.11
2245,2,34.1611371205073,1250.07
2218,2,30.0800287829382,1250.22
2259,1,38.6232722080768,1250.01
2191,3,18.1266999247321,1250.32
2127,3,43.3431019046684,1250.03
2122,3,35.3981905451858,1250.15
2150,2,25.3337967481512,1250
2306,3,33.7679070235443,1250.02
2250,2,40.2093719175151,1250.09
1153,3,34.4828805093912,1250.03
2160,1,35.3049094650883,1250.04
2151,2,29.3381718964314,1250.08
1042,2,19.4092284441345,1250.39
2271,2,38.771076158708,1249.98
1225,1,33.704995712398,1250.3
2161,3,34.4969194281369,1250.35
1050,1,37.6427004366964,1250.09
2048,3,19.9793382795332,1250.24
1314,1,13.9378417142676,1249.65
2114,3,35.7014241638934,1249.99
2064,3,16.5410668404969,1250.22
2305,3,31.1645061310077,1250.02
1219,1,36.9149111909838,1250.24
2258,1,39.137597977237,1250.06
1284,1,30.63177704972,1249.99
1076,1,29.1940448251021,1250.48
1123,1,38.7253875944883,1250.09
1093,2,39.5571531821639,1250.13
1043,3,38.3678676569593,1250.51
2077,3,28.4312049102847,1250.08
2234,3,25.9984057862471,1250.21
2146,2,31.4722804391761,1250.08
2076,1,32.0140850232821,1250.02
2080,2,37.2901817781513,1250.23
2296,1,28.0849961498515,1249.81
1239,2,16.4524608978223,1249.83
2111,3,32.156345647981,1250.14
1246,3,22.6217193654408,1249.85
2120,1,44.3066807123207,1250.25
1118,3,31.9157497123361,1250.14
2086,1,26.9485848280722,1250.09
1300,2,6.70442792137722,1249.97
1067,1,47.4496122348478,1250.22
2036,2,24.6856584345619,1250.14
2029,1,35.8811903451405,1250.3
2033,2,27.6883462941323,1250.29
1173,2,32.6262863348956,1249.85
1060,1,34.5080615537371,1250.28
2043,2,16.291404461017,1249.93
1221,1,35.9071498148242,1250.13
1075,2,36.3429056814165,1249.8
2045,1,37.8456873845669,1250.08
1272,3,22.6271186631758,1250.69
2198,2,27.8116307129519,1250.17
2261,1,32.0138861017653,1250.16
2153,1,30.4311095332974,1250.15
1033,3,50.0103578389799,1250.1
1297,3,21.9673816093823,1250.48
2003,2,27.7320699588389,1250.17
2144,3,38.9531589307441,1250.42
2025,1,44.3124167282123,1250.06
1146,3,23.4876072314246,1250.16
1170,3,27.5714003064595,1250.01
2308,1,31.9832782911021,1250.01
1292,2,27.4513071936841,1250.02
2067,2,28.6546970773576,1250.2
2186,3,14.8944482744528,1250.32
2274,2,28.3121437027283,1249.95
1315,2,27.7435686830213,1250.19
2171,3,14.9932677836934,1250.07
2279,3,40.7879116126269,1249.68
2163,2,25.9660335084921,1249.83
2210,1,30.8770014709552,1250.32
1148,3,40.5945385457197,1250.03
1244,1,34.145471334999,1250.2
2227,1,22.6415910444283,1250.02
2085,3,29.5138349663948,1250.17
1253,1,14.7630777923676,1250.01
2134,3,31.7622646764997,1249.86
1301,1,14.1731717442573,1250.21
2013,3,37.6424614027411,1250.05
1070,3,19.8535942404176,1249.74
1126,2,36.5143704677875,1249.86
2230,3,22.9273409074826,1249.87
1031,2,20.5807006772805,1250.4
1128,1,32.2124790784098,1250.06
