"Plot","Repeat","A_maxCO2","CO2"
1113,3,47.7185738579628,1249.99
2141,2,43.9693105321508,1249.9
1001,1,37.3977592900935,1250.21
2105,1,36.8824860700544,1250.12
1158,3,23.9247320685485,1250.07
1209,3,35.8097620850561,1249.94
1049,3,36.0582820316352,1250.14
1081,2,41.9634111848688,1250.1
1023,1,50.6195776391154,1250.22
1214,1,44.9937129042301,1250.13
1265,3,30.8539508686214,1250.31
1144,3,40.6648149164905,1250.19
1157,3,48.3871354698079,1249.93
1010,2,49.4989632772439,1250.31
2226,2,26.2408913660257,1250.23
2207,1,43.9114889413606,1250.07
2243,3,56.783640117746,1250.23
1075,1,46.6532050912361,1249.73
2297,1,39.842333667239,1250.04
2280,3,48.4424617892785,1250.2
1051,3,37.5689014893963,1249.92
2296,2,46.8272588909695,1249.91
2230,3,46.9939438059742,1250.14
1297,1,46.3834927906849,1250.13
2275,3,15.7285439122094,1250.19
2217,2,55.7581849850618,1250.4
1129,2,39.2429375581184,1250.17
1101,3,40.7982449727047,1399.63
1042,2,44.0546916476378,1250.08
1106,3,39.3781105763358,1250.09
2054,3,42.1093990785305,1250.2
1151,3,46.4214610102733,1250.23
2027,2,37.4627280777632,1250.12
2081,1,39.7393227165471,1250.27
1197,1,40.8768959036515,1250.03
1100,2,52.159218832073,1249.99
2264,1,39.869104184284,1250.22
1225,2,45.4004736844198,1250.12
2179,2,46.3050357581812,1250.53
1287,2,46.3564638051847,1250.34
2139,2,53.90666416617,1250.29
2006,2,45.7259351357024,1249.79
2271,2,51.3039424890736,1250.21
1309,3,41.0217231415365,1250.31
1167,1,46.9542631896032,1250.32
1018,3,41.9160580894581,1250.2
1093,3,42.7963067619993,1250.15
2279,3,41.3277064900249,1250.02
2055,1,43.9461532174641,1250.25
1043,2,32.6579543054668,1250.14
1108,2,36.5998598690607,1249.98
2249,2,23.0035280607217,1250.1
2315,3,40.0473382351803,1250.11
1148,3,42.2233564739154,1250.45
2284,2,47.4765045947841,1250.21
1073,1,52.189696340334,1249.95
1140,3,52.8076129703748,1249.97
1275,2,48.9673185172622,1250.03
1156,2,28.2699554036743,1250.09
2135,2,30.3916728124303,1250
1062,3,30.3276170825272,1400.03
2094,3,25.201705239,1250.1
1201,2,36.5401088352168,1250.04
1159,1,41.0455437214632,1400.29
2009,2,53.866032516478,1399.97
1200,1,44.9106008298344,1498.86
1183,1,41.2700283122661,1000.21
1215,2,56.5782975299497,1000.16
1147,2,47.688472423144,1250.51
1044,2,43.6200853106818,1249.85
1202,3,40.3055389613724,1250.19
1170,2,51.8086011882659,1400.06
2066,1,23.9702447814151,1400.12
1027,2,21.7931230189647,1400.34
2195,3,46.8308631610311,1250.44
2011,1,35.5063589938173,1250.09
1188,3,43.3841639758877,1250.12
1117,3,47.9975025156073,1249.98
2028,2,39.2894897265549,1250.16
1110,2,38.8631083040555,1399.72
2013,2,43.6601342580114,1400.29
2180,2,36.9453240855107,1399.57
2228,2,41.807646345814,1399.78
2133,1,34.4726589626508,1250.24
2060,1,42.4510624141226,1250.13
2171,1,43.8643073852131,1400.13
1268,1,34.6311805548522,1250.05
2194,2,40.3488413172784,1249.89
2114,2,28.6092065704559,1250.26
2049,3,33.4308767483066,1400.05
2258,2,31.7932154657044,1399.54
1300,2,43.4517605331138,1399.88
2082,3,37.2106355021504,1250.31
2146,2,30.0734571385214,1250.19
2204,2,42.7806092840622,1250.22
2154,3,44.1493355800336,1250.06
2254,1,21.0777223814821,1250.07
2287,3,44.9197663113497,1400.37
1206,1,41.2479517310591,1400.36
2245,1,43.1627195471961,1250.28
1095,3,43.3853341776066,1400.09
1270,3,37.2183936044687,1400.06
1088,3,47.826586952267,1250.14
1024,3,36.2711110771895,1250.13
1229,2,39.838099537914,1250.04
1082,2,49.7114294936471,1249.92
2211,1,29.7524352299419,1250.29
1138,2,39.9902363616424,1250.11
2100,3,48.4936089911012,1399.85
2083,3,35.6305502515281,1399.92
2002,2,44.023965560146,1399.97
1305,2,31.6505702531237,1399.91
2298,3,31.0609633597953,1250.24
2059,2,36.9021301262904,1249.89
1248,2,48.5376918169372,1250.04
1313,1,41.043792186749,1250.22
1255,1,37.1982035399909,1250.37
2021,2,38.8853993554257,1250.16
1317,3,35.4113623392657,1399.98
2120,2,39.00680372326,1399.91
1301,2,42.1547154279776,1400.13
1006,3,40.7298353487247,1250.21
2221,3,43.4551995827424,1399.97
2093,2,33.3827893167543,1250.72
1210,3,39.9200238489693,1400.17
1230,2,32.5261311536191,1399.82
2140,1,37.169902215376,1399.96
2164,2,34.2151121528707,1250.31
1004,1,26.7704937025413,1249.98
2061,1,26.5557051417261,1250
2108,2,31.5901763610616,1250.08
1175,3,44.2245772969456,1400.09
2253,2,27.4475720337403,1400.17
1017,2,28.8561718972793,1250.17
2032,1,43.4443372790763,1400.22
1111,1,16.7361915879199,1399.81
2042,2,23.1031287462606,1400.21
2086,1,31.3212851747249,1250.33
1223,2,32.7212753256267,1399.57
1079,3,30.6111146384129,1400.16
2183,3,29.4132555006686,1400.21
2190,3,36.4613550316355,1400.76
2047,3,32.9193519315929,1400.19
2150,1,39.7090825426055,1400.07
2159,2,44.1161824781878,1250.26
1096,2,38.9066294258156,1250.17
2157,2,34.7678121606591,1250.23
2175,2,37.404629885055,1400.13
1032,2,38.9863918605263,1399.93
