Plot,Repeat,NPQ_ind_amp,NPQ_ind_rate,NPQ_rel_amp,NPQ_rel_rate,NPQ_rel_res,phiPSII_ind_amp,phiPSII_ind_rate,phiPSII_ind_res,NPQ_ind_linear,maxNPQ,endNPQ,endFvFm,initialFvFm
,,,,,,,,,,,,,,
1002,1,2.881080835,0.011542767,2.686481158,0.027464898,0.22679324,0.26388319,0.019678402,0.508982753,0.0288,2.98,0.15,0.78,0.8
,,,,,,,,,,,,,,
1002,3,2.789619835,0.015057471,2.597533529,0.02612724,0.211137401,0.259858499,0.017618495,0.505032149,0.0343,2.87,0.15,0.77,0.79
,,,,,,,,,,,,,,
1003,1,1.978398097,0.007786811,1.770333214,0.019835014,0.233857934,0.204969023,0.016544935,0.540923921,0.0155,2.02,0.21,0.75,0.78
,,,,,,,,,,,,,,
1003,2,2.535276905,0.004519811,2.146829653,0.021784593,0.160535639,0.24007942,0.01688668,0.510409713,0.0107,2.33,0.14,0.75,0.78
,,,,,,,,,,,,,,
1003,3,1.728932285,0.006989147,1.501619687,0.020698455,0.210397927,0.18475803,0.01683608,0.552138615,0.011,1.73,0.19,0.74,0.77
,,,,,,,,,,,,,,
1004,1,3.060078083,0.009245434,2.669413918,0.030024225,0.270851307,0.250372244,0.019587593,0.519929945,0.0203,3.03,0.19,0.78,0.8
,,,,,,,,,,,,,,
1004,2,3.034891807,0.010427307,2.72403681,0.027301623,0.256850494,0.263582527,0.019511631,0.495082333,0.0232,3.04,0.21,0.76,0.8
,,,,,,,,,,,,,,
1004,3,3.111963725,0.009859162,2.733512126,0.01727513,0.260080962,0.266597093,0.012843925,0.483630044,0.0254,3.11,0.24,0.75,0.79
,,,,,,,,,,,,,,
1005,1,2.769627004,0.009303919,2.571482767,0.024843333,0.204735892,0.266431478,0.018649153,0.479273391,0.0245,2.79,0.17,0.75,0.78
,,,,,,,,,,,,,,
1005,2,2.112356006,0.005857961,1.949247459,0.023536198,0.132653305,0.242169618,0.018904294,0.448172178,0.012,2.08,0.12,0.69,0.72
,,,,,,,,,,,,,,
1005,3,2.498892593,0.006523959,2.207018747,0.028067448,0.198436332,0.238101731,0.022316538,0.518690607,0.0152,2.41,0.15,0.76,0.79
,,,,,,,,,,,,,,
1006,1,2.886928527,0.006383061,2.532254103,0.040292561,0.239291595,0.26496411,0.027919227,0.464364603,0.0164,2.81,0.2,0.73,0.77
,,,,,,,,,,,,,,
1006,2,2.927347768,0.006641915,2.509077034,0.038457115,0.256927593,0.258986123,0.025717841,0.457252058,0.0143,2.82,0.18,0.72,0.76
,,,,,,,,,,,,,,
1006,3,3.097902497,0.00681881,2.745068758,0.036332544,0.217384129,0.272138425,0.027208735,0.474232811,0.0116,3,0.17,0.75,0.78
,,,,,,,,,,,,,,
