Plot,Repeat,Vpmax,Vmax,SL,a400,gsw,Vpmax.Vmax,iWUE
1001,1,83.0469201,39.59909732,0.199492025,31.07592033,0.198174128,0.476828006,156.8111877
1004,1,66.82273673,29.38540677,0.125711361,25.2881987,0.153471564,0.439751621,164.7744899
1004,2,56.65772529,25.20915421,0.332521912,16.58029605,0.086975333,0.444937634,190.6321658
1006,1,123.0071842,40.53445022,0.134521864,34.71643374,0.210960195,0.329529129,164.5639064
1006,2,96.7875571,42.06452415,0.218917363,32.34129262,0.196882335,0.434606735,164.267112
1006,3,86.49534977,42.63434653,0.266903346,29.88375338,0.177524849,0.492909118,168.3356076
1010,1,158.8300639,44.68765118,0.247657826,33.85360013,0.183579093,0.281355117,184.4087999
1010,2,135.7070951,49.66793824,0.316578531,33.53085776,0.184369662,0.365993673,181.8675448
1010,3,87.41542659,45.67400893,0.292421259,31.71923375,0.191606961,0.522493691,165.5432227
1017,1,49.88686582,28.69882845,0.349006902,17.31891891,0.095387926,0.575278242,181.5630087
1017,2,53.68610238,29.2307709,0.373245116,17.46082338,0.095134885,0.544475565,183.5375469
1017,3,13.69645471,12.24772507,0.093473984,9.251171058,0.118241274,0.894225939,78.23977849
1018,1,107.681033,40.70721851,0.155162558,33.61102789,0.21213456,0.378035178,158.4420188
1018,2,114.67385,46.79364295,0.162323995,38.37841092,0.243217501,0.408058533,157.7946106
1018,3,120.0354307,43.08880801,0.160821805,35.7388807,0.216697083,0.358967413,164.9255273
1023,1,102.8506069,53.23922924,0.204697231,40.9240817,0.281978521,0.51763651,145.1319115
1023,2,99.04252618,49.65406821,0.220991019,37.38379516,0.249791247,0.50134089,149.6601485
1023,3,95.71491091,52.63654135,0.146944222,43.03382262,0.340496443,0.549930422,126.3855279
1024,1,73.36375958,34.35533005,0.097183924,30.50592685,0.228087264,0.468287479,133.7467352
1024,2,57.09728023,33.39279838,0.161180786,26.22084092,0.189906473,0.584840438,138.0723919
1024,3,86.32501573,36.98924602,0.138005777,31.11984775,0.21277977,0.428488147,146.2537898
1027,1,73.87453955,28.36591485,0.344069422,17.59585328,0.089056012,0.383974168,197.5818692
1027,2,25.85410136,23.98212784,0.480701488,10.2289346,0.057979362,0.927594717,176.4237174
1027,3,26.97925505,19.03220007,0.264572375,12.36227402,0.079538894,0.705438309,155.4242631
1032,1,74.78976513,37.97409719,0.147968594,31.24350351,0.218260318,0.507744571,143.1478878
1032,2,79.04150878,39.95448377,0.120805153,34.09865678,0.250742593,0.505487362,135.9906842
1032,3,92.34095567,39.39555642,0.294980755,25.2727683,0.141420199,0.426631457,178.7069208
1042,1,92.86775996,46.34158681,0.151035859,38.30121892,0.274907083,0.499006187,139.3242345
1042,2,83.20495222,44.9476029,0.213773457,34.37947895,0.232408601,0.540203458,147.9268787
1042,3,77.31283549,43.35441962,0.314066481,29.2692968,0.173409912,0.560766131,168.7867581
1043,1,97.77454012,41.9985659,0.231197611,31.47570581,0.186171578,0.429545011,169.0682652
1043,2,69.34350276,33.92062083,0.154339984,27.48819101,0.185254442,0.489167975,148.3807393
1043,3,79.40178926,46.81986407,0.193007934,35.57586023,0.260538979,0.589657544,136.5471698
1044,1,83.82480732,45.41621819,0.243042155,33.56891517,0.219583519,0.541799255,152.8753859
1044,2,75.76007577,46.08714329,0.246401553,33.29441599,0.230276528,0.608330216,144.584497
1044,3,62.3292708,29.19701818,0.284531084,20.11724913,0.112427533,0.468431891,178.9352533
1049,1,124.5876446,48.62114476,0.309716022,33.39698982,0.194192886,0.390256553,171.9784412
1049,3,54.8969629,39.40836474,0.353917179,24.05917271,0.15481874,0.717860564,155.4021991
1051,1,87.28233951,44.68417106,0.137592516,37.25862825,0.287938463,0.51194974,129.3978853
1051,2,53.78971455,36.15482095,0.200291143,26.83343722,0.19657417,0.672151196,136.5054074
1051,3,76.17406626,38.69134326,0.115119334,33.09202375,0.246533128,0.507933279,134.2295213
1062,1,80.04041102,39.04797914,0.338422813,24.98246971,0.137703488,0.487853306,181.4221993
1062,2,47.4404374,33.13087173,0.265574017,23.07875651,0.152450004,0.698367754,151.3857389
1062,3,47.87969498,33.12248726,0.38532666,18.83728978,0.111988795,0.691785678,168.2069158
1073,1,132.6623425,53.11069367,0.201456772,41.30186514,0.281542923,0.400344911,146.6982892
1073,2,95.93532832,52.5501252,0.259693291,37.29783994,0.253798634,0.547766148,146.9583952
1073,3,118.7051994,42.34893053,0.091219941,37.85778199,0.260916136,0.356757166,145.0955947
1075,1,98.02825204,47.93985825,0.158522377,39.61801327,0.271958975,0.489041243,145.6764325
1075,2,62.26613114,35.56225501,0.308108183,23.04431109,0.135570293,0.571133205,169.9805357
1075,3,62.65330978,30.49535756,0.095352756,25.7193902,0.176867129,0.486731789,145.4164513
1079,1,48.89030095,31.8729625,0.260798663,22.85359463,0.150425462,0.65192813,151.9263717
