group1,group2
1001,2213
1002,2256
1004,2057
1006,2237
2099,1009
1014,2139
1016,2264
1017,2107
2254,1018
2189,1021
1023,2012
1025,2157
1028,2202
2127,1030
1031,2142
2015,1038
1039,2211
1040,2153
2137,1046
1048,2230
1049,2007
2088,1052
2149,1054
1057,2131
1059,2120
1060,2259
2051,1062
1069,2050
2173,1070
1081,2249
2082,1084
2114,1087
2029,1088
2185,1090
1093,2175
1095,2195
1097,2059
2009,1099
2161,1101
2151,1103
1104,2068
2251,1105
1106,2017
1107,2205
1108,2224
1116,2095
1119,2098
2235,1121
2008,1124
1126,2143
2248,1127
1128,2052
2187,1129
2074,1132
1138,2133
2106,1139
2040,1140
2233,1143
1145,2260
1149,2125
1151,2013
1156,2197
2077,1157
1158,2159
1161,2250
2265,1162
2042,1165
1168,2148
1170,2086
1171,2164
1172,2016
1176,2020
1178,2241
2097,1182
2158,1183
1187,2054
2203,1189
1190,2165
2239,1192
1194,2006
2245,1197
1201,2167
2043,1202
1203,2140
2261,1207
1209,2109
2091,1212
1216,2207
1217,2060
2238,1227
2123,1228
1229,2135
2272,1232
1233,2003
1238,2196
2186,1240
1241,2206
2184,1244
1246,2147
2129,1247
1251,2244
2223,1256
2179,1263
2080,1265
1266,2023
2001,1268
1269,2262
1270,2087
2232,1271
