group1,group2
2047,1003
1010,2168
2200,1015
2046,1022
2092,1026
1027,2063
2169,1032
2181,1034
2066,1036
1041,2271
2252,1042
1044,2104
1045,2031
1047,2204
2177,1051
1053,2214
1055,2026
1061,2162
2076,1063
1064,2253
2150,1066
1067,2039
2101,1071
1072,2121
1073,2180
1074,2216
2005,1075
1078,2071
2267,1079
1082,2236
1083,2055
2108,1089
2266,1094
1096,2220
2130,1098
1100,2034
2182,1102
2084,1110
1112,2110
1117,2033
2070,1118
1120,2124
1122,2160
1123,2219
1125,2178
2208,1130
1131,2163
1133,2004
1134,2221
2255,1135
2061,1137
2146,1141
2025,1142
1144,2258
2226,1146
2191,1147
2038,1152
2083,1153
1154,2247
2062,1164
2192,1166
2201,1169
1173,2122
2136,1174
2227,1175
1179,2048
2067,1181
2128,1184
2081,1185
2190,1186
1188,2024
2210,1191
2021,1193
1195,2225
2096,1198
2217,1200
1204,2079
1205,2126
1206,2188
2154,1208
1210,2215
2141,1213
1214,2075
2115,1219
1222,2263
1224,2171
2112,1225
1226,2089
2022,1230
1231,2056
2078,1234
2156,1235
2209,1237
1239,2242
1248,2269
1250,2100
1252,2010
1253,2119
2229,1254
1257,2117
2170,1258
2132,1259
2041,1260
1261,2064
1262,2212
2243,1264
2199,1267
1272,2145
