group1,group2
1005,2019
2152,1008
1010,2168
2118,1011
1018,2254
1019,2268
1021,2189
1022,2046
1028,2202
1036,2066
1037,2044
1039,2211
1045,2031
2230,1048
1049,2007
2111,1050
2177,1051
2036,1056
1057,2131
1060,2259
1061,2162
2253,1064
1067,2039
2193,1068
1069,2050
1070,2173
1072,2121
2246,1076
1078,2071
2032,1080
1081,2249
2236,1082
1084,2082
2108,1089
2134,1091
1095,2195
1096,2220
2059,1097
2130,1098
1100,2034
2161,1101
1102,2182
1107,2205
1108,2224
2116,1109
1113,2257
2033,1117
2098,1119
1120,2124
1121,2235
1122,2160
1124,2008
2143,1126
1128,2052
2208,1130
2221,1134
1144,2258
1148,2176
2038,1152
1155,2218
2077,1157
2159,1158
2042,1165
2192,1166
2072,1167
1169,2201
1173,2122
1176,2020
2138,1177
2067,1181
2081,1185
2203,1189
2021,1193
1194,2006
2188,1206
2154,1208
1211,2155
2091,1212
2183,1215
1216,2207
1217,2060
2014,1218
2115,1219
1222,2263
2171,1224
2112,1225
1227,2238
1229,2135
2056,1231
2272,1232
1233,2003
2156,1235
1238,2196
2186,1240
1242,2093
2184,1244
2027,1245
2147,1246
2129,1247
1248,2269
2073,1249
2244,1251
2035,1255
2223,1256
1257,2117
1258,2170
2001,1268
2262,1269
2232,1271
