group1,group2
1003,2267
2236,1006
1010,2227
2221,1011
2107,1012
2067,1013
2192,1014
2264,1019
2197,1023
2155,1024
2320,1027
1031,2051
2286,1032
2004,1038
2151,1043
2016,1046
1047,2036
2041,1048
1049,2219
1053,2276
2068,1055
2217,1057
1059,2090
1060,2139
1062,2188
2316,1065
2209,1068
1070,2243
2234,1072
2232,1074
1076,2261
2206,1077
1080,2194
2160,1083
2019,1084
2258,1088
1090,2231
2170,1097
1099,2213
1100,2317
1105,2296
2097,1112
1118,2111
1119,2069
2205,1120
2225,1125
2129,1126
2143,1127
1134,2038
2313,1135
1138,2253
2152,1140
2126,1147
2268,1148
1149,2118
2154,1150
1152,2024
1154,2184
1158,2010
2052,1161
1163,2059
2159,1168
2235,1170
2244,1172
2049,1173
1177,2275
2290,1178
2008,1179
1181,2177
1182,2223
2025,1183
1184,2103
1188,2044
1191,2079
2116,1194
2262,1195
1202,2066
2273,1203
2218,1206
1207,2032
1211,2187
2028,1213
2277,1214
1219,2053
1221,2315
1223,2307
2251,1226
2171,1228
1230,2214
1234,2021
2081,1236
1237,2124
2117,1239
2211,1247
2238,1249
1251,2249
2039,1254
2306,1256
2190,1259
2138,1262
2064,1265
1269,2018
2147,1274
1276,2100
1277,2027
1281,2145
1285,2006
2031,1286
2181,1288
1289,2150
1290,2178
1291,2076
2011,1292
2311,1293
2042,1294
2168,1296
1297,2030
1300,2094
2003,1301
1302,2099
1303,2182
1304,2080
2274,1306
2072,1308
1311,2189
1316,2020
2112,1317
1319,2257
