group1,group2
2019,1005
2099,1009
2002,1013
2107,1017
1019,2268
1021,2189
1022,2046
1023,2012
1024,2030
2157,1025
2092,1026
2063,1027
2234,1029
1035,2113
2153,1040
2271,1041
2104,1044
2204,1047
1048,2230
2007,1049
1050,2111
1053,2214
1062,2051
1063,2076
2253,1064
1066,2150
2193,1068
1073,2180
1074,2216
2246,1076
1081,2249
2236,1082
2055,1083
1084,2082
1090,2185
2065,1092
1093,2175
1094,2266
2059,1097
2130,1098
2009,1099
1101,2161
2151,1103
1108,2224
2084,1110
2257,1113
2194,1114
2124,1120
1121,2235
2160,1122
2248,1127
1128,2052
1129,2187
1130,2208
1132,2074
1134,2221
2061,1137
2133,1138
1140,2040
1141,2146
1144,2258
1145,2260
1147,2191
1148,2176
2038,1152
2083,1153
1154,2247
2197,1156
2265,1162
2072,1167
2148,1168
1169,2201
1171,2164
1172,2016
1179,2048
2128,1184
2190,1186
1189,2203
1191,2210
2049,1196
1197,2245
2217,1200
2167,1201
2043,1202
1205,2126
2215,1210
1212,2091
1214,2075
2045,1220
2231,1221
1223,2018
2123,1228
1231,2056
2272,1232
2003,1233
1236,2174
2209,1237
2186,1240
1243,2053
1244,2184
1245,2027
1250,2100
1254,2229
2035,1255
2132,1259
1266,2023
1267,2199
2262,1269
1272,2145
