group1,group2
1002,2015
2108,1004
2256,1005
2164,1006
2234,1007
2232,1008
1009,2170
2250,1011
2278,1012
1015,2265
2123,1022
2280,1023
1024,2211
2135,1026
2241,1029
1030,2071
2142,1031
2203,1037
1039,2281
2148,1052
1057,2134
2143,1060
1062,2094
2246,1063
1066,2077
2057,1071
2005,1080
2317,1082
1083,2062
2292,1085
2318,1089
1092,2247
2154,1093
2312,1095
1097,2310
1098,2063
1101,2296
2314,1102
1104,2001
2288,1105
1109,2128
2199,1112
1113,2141
1114,2110
1117,2228
2010,1118
1119,2161
2090,1120
1122,2315
1123,2156
2294,1124
1126,2299
1127,2019
2249,1129
2226,1130
1131,2109
1133,2283
1135,2266
2166,1136
1137,2298
1139,2051
2181,1142
2053,1146
1150,2316
1152,2311
2105,1156
1158,2230
1160,2267
1162,2220
2111,1163
1164,2192
1168,2239
1169,2034
2202,1172
2197,1173
1176,2273
2302,1180
2020,1182
2177,1184
1185,2106
1186,2277
1191,2219
2286,1193
1196,2193
1197,2207
2122,1198
1199,2033
1201,2049
2159,1202
1204,2024
2320,1208
1209,2297
1211,2147
1218,2152
2242,1222
2183,1223
2003,1226
2059,1229
1232,2075
1233,2173
1234,2126
1236,2210
1238,2276
1240,2040
2149,1241
2190,1244
1245,2236
2103,1249
2117,1250
2002,1255
2215,1256
2205,1262
2114,1265
2039,1269
1273,2221
2231,1276
1279,2235
1281,2095
1288,2233
2257,1290
1292,2116
1300,2082
1302,2079
1303,2046
1305,2245
2158,1310
2319,1316
1318,2097
