group1,group2
2267,1003
2236,1006
1014,2192
2303,1015
2086,1017
2022,1021
1027,2320
1031,2051
1032,2286
2148,1034
1035,2179
1040,2078
2077,1042
1051,2142
2276,1053
1058,2071
1060,2139
1067,2169
2243,1070
1071,2055
1072,2234
1075,2082
1078,2023
2194,1080
1083,2160
1085,2057
1086,2113
2083,1087
1088,2258
1089,2106
1091,2140
1092,2203
1093,2132
1096,2198
1097,2170
2213,1099
1101,2312
1102,2255
2166,1103
2296,1105
2298,1108
2065,1110
2096,1111
2097,1112
1113,2297
1116,2191
1121,2304
2105,1122
1129,2309
1130,2174
1135,2313
2047,1136
1138,2253
2045,1139
1141,2164
2024,1152
1153,2005
2280,1155
2010,1158
2026,1159
1160,2075
1166,2272
1168,2159
1171,2060
1172,2244
2049,1173
2271,1174
2128,1175
2290,1178
1179,2008
2177,1181
2007,1185
1192,2029
1197,2061
2066,1202
2273,1203
2098,1204
2218,1206
2293,1208
2028,1213
1215,2091
1217,2033
1218,2291
1219,2053
2315,1221
2251,1226
1227,2037
1228,2171
2214,1230
1237,2124
2157,1238
2062,1240
2266,1246
1247,2211
2314,1248
1251,2249
1255,2173
2229,1257
2133,1258
2190,1259
2195,1260
2299,1263
2288,1266
2242,1267
1270,2127
1271,2270
2183,1273
2147,1274
1275,2074
1278,2046
2295,1284
2102,1287
2181,1288
2150,1289
2178,1290
2076,1291
2011,1292
1293,2311
1294,2042
1296,2168
1298,2279
1299,2294
1302,2099
1303,2182
1305,2301
1307,2222
2199,1314
1320,2207
