group1,group2
2246,1001
1002,2121
2216,1004
2236,1006
1007,2063
1010,2227
2221,1011
2067,1013
1016,2131
2086,1017
1018,2120
2264,1019
1021,2022
2197,1023
1026,2175
1028,2248
1029,2215
2051,1031
2286,1032
2305,1033
2078,1040
2077,1042
1046,2016
2186,1050
1052,2089
2276,1053
2289,1054
2217,1057
2071,1058
1059,2090
2108,1061
2300,1063
2226,1064
1068,2209
1070,2243
1072,2234
2135,1079
2194,1080
1082,2123
1084,2019
1088,2258
2231,1090
1096,2198
1099,2213
2040,1104
1105,2296
2298,1108
2185,1109
1110,2065
1111,2096
2097,1112
1114,2228
1116,2191
1123,2260
1124,2200
1125,2225
2129,1126
2174,1130
1132,2167
1133,2254
1135,2313
1138,2253
1146,2058
2118,1149
2024,1152
1153,2005
2184,1154
2280,1155
2281,1162
2247,1164
2084,1167
2271,1174
1176,2283
1179,2008
1180,2095
2007,1185
1187,2165
2044,1188
1193,2017
2116,1194
2262,1195
2061,1197
1198,2158
2098,1204
1205,2001
2293,1208
2250,1210
1211,2187
2101,1216
2053,1219
1221,2315
2210,1224
2241,1225
2251,1226
1227,2037
1233,2193
1235,2263
2081,1236
1238,2157
2282,1244
1246,2266
1248,2314
1249,2238
2162,1252
1253,2212
2039,1254
2195,1260
1261,2201
2138,1262
2064,1265
2288,1266
1269,2018
1272,2087
1274,2147
2100,1276
1278,2046
1279,2002
2295,1284
1297,2030
1298,2279
1303,2182
2080,1304
1306,2274
1308,2072
2092,1309
2199,1314
1317,2112
2134,1318
