group1,group2
1001,2272
1003,2222
2170,1009
1010,2284
1011,2250
1015,2265
2218,1016
1021,2031
2211,1024
1027,2304
2017,1028
2271,1033
1034,2251
2036,1041
1051,2133
1053,2138
2184,1056
2134,1057
2186,1059
2143,1060
1064,2145
1066,2077
1067,2306
1073,2209
2027,1075
1077,2263
1080,2005
2160,1081
1082,2317
1084,2101
1085,2292
2318,1089
2063,1098
2104,1099
2054,1100
2296,1101
1102,2314
1104,2001
2035,1107
2253,1111
1112,2199
2110,1114
1117,2228
1120,2090
2069,1121
1123,2156
2308,1125
2299,1126
1127,2019
1128,2055
1129,2249
1131,2109
1132,2238
2166,1136
1138,2150
1141,2153
1142,2181
1144,2066
1147,2289
2155,1149
1150,2316
2081,1151
1152,2311
1154,2206
2105,1156
1157,2217
1159,2254
1163,2111
2192,1164
2270,1165
2016,1166
1168,2239
2197,1173
1176,2273
2131,1177
1178,2157
2244,1179
1180,2302
2151,1181
2020,1182
2177,1184
1189,2201
2172,1190
2219,1191
1192,2252
1193,2286
2193,1196
2159,1202
1204,2024
1205,2070
1207,2291
1210,2093
2130,1212
2182,1213
1217,2136
1224,2187
2293,1228
2026,1237
1241,2149
1244,2190
1246,2162
2103,1249
2073,1252
1254,2030
2037,1257
2121,1261
1263,2269
1267,2041
2194,1268
2039,1269
1270,2258
2231,1276
1279,2235
1280,2096
1287,2013
2257,1290
1294,2080
1296,2214
1297,2006
2064,1298
2082,1300
1308,2300
2179,1309
1313,2061
2319,1316
2118,1317
1318,2097
2295,1319
