group1,group2
2015,1002
2108,1004
1006,2164
1010,2284
1011,2250
1012,2278
2124,1013
2198,1018
1020,2259
2031,1021
1022,2123
1023,2280
2211,1024
2227,1036
2281,1039
2036,1041
1046,2212
2185,1050
1054,2163
2089,1055
1056,2184
1058,2012
1059,2186
2178,1061
1062,2094
1063,2246
2077,1066
1068,2004
1069,2313
2057,1071
1072,2290
1073,2209
2200,1074
2027,1075
1076,2078
2005,1080
1081,2160
1089,2318
2067,1090
1091,2301
1092,2247
1101,2296
1105,2288
1109,2128
2188,1116
2228,1117
2010,1118
1119,2161
2315,1122
2299,1126
2019,1127
1130,2226
1132,2238
2224,1134
1136,2166
1138,2150
2051,1139
1142,2181
1146,2053
1149,2155
2311,1152
2237,1155
2217,1157
2254,1159
2220,1162
2270,1165
1166,2016
1167,2229
2034,1169
2261,1171
1174,2127
1175,2032
2273,1176
1177,2131
2072,1183
2177,1184
2106,1185
1186,2277
2268,1187
1189,2201
1193,2286
1201,2049
1203,2307
1206,2083
1207,2291
2320,1208
2093,1210
2018,1216
1219,2303
1224,2187
2120,1225
2102,1227
2126,1234
2260,1235
1237,2026
2196,1239
1240,2040
2149,1241
1245,2236
1249,2103
2117,1250
1253,2043
1255,2002
2037,1257
2274,1258
2176,1259
1260,2255
2282,1264
1267,2041
2221,1273
1274,2189
1277,2112
2096,1280
2129,1282
1283,2165
1285,2144
1287,2013
2233,1288
1295,2058
1296,2214
1297,2006
2064,1298
1308,2300
2179,1309
1312,2065
2084,1314
1316,2319
1318,2097
