group1,group2
1001,2246
2236,1006
1010,2227
1014,2192
2086,1017
2264,1019
2022,1021
1022,2130
1024,2155
2034,1025
2175,1026
1029,2215
1031,2051
2286,1032
2305,1033
2048,1036
2252,1041
1042,2077
1045,2163
2016,1046
1047,2036
2276,1053
1056,2302
1057,2217
1060,2139
1062,2188
2300,1063
2316,1065
1067,2169
1073,2115
2082,1075
2135,1079
1080,2194
2160,1083
1084,2019
1085,2057
1086,2113
2083,1087
2258,1088
2106,1089
1090,2231
2259,1095
1101,2312
2298,1108
2065,1110
2136,1117
2105,1122
2200,1124
2143,1127
1129,2309
2167,1132
2035,1137
2253,1138
2152,1140
1143,2172
2085,1145
2126,1147
1148,2268
1150,2154
2287,1151
1153,2005
1155,2280
2010,1158
1161,2052
2281,1162
1163,2059
1164,2247
1166,2272
2159,1168
1169,2156
2271,1174
1177,2275
1182,2223
1191,2079
2262,1195
1197,2061
2158,1198
2093,1201
2066,1202
1203,2273
1205,2001
1206,2218
2293,1208
2187,1211
2028,1213
2101,1216
2033,1217
2291,1218
2053,1219
2307,1223
1224,2210
2239,1229
1234,2021
2124,1237
2157,1238
2117,1239
1241,2245
2056,1243
1244,2282
2266,1246
1251,2249
1252,2162
1253,2212
1255,2173
2133,1258
2138,1262
1264,2109
1267,2242
1268,2153
2087,1272
2183,1273
1280,2014
1281,2145
1286,2031
1288,2181
2076,1291
2011,1292
1295,2256
2279,1298
1299,2294
1300,2094
2099,1302
2301,1305
1310,2110
1314,2199
1315,2119
2112,1317
2257,1319
