group1,group2
2069,1007
2002,1013
2139,1014
1015,2200
2268,1019
1020,2222
1021,2189
2046,1022
1023,2012
2202,1028
1030,2127
1035,2113
1039,2211
1041,2271
2252,1042
1043,2172
2088,1052
1053,2214
1055,2026
1058,2198
1059,2120
2259,1060
2076,1063
1067,2039
1069,2050
2216,1074
1076,2246
2071,1078
2267,1079
2032,1080
2236,1082
2055,1083
1084,2082
1086,2011
1092,2065
2059,1097
2151,1103
1104,2068
1109,2116
2110,1112
1113,2257
1115,2166
2095,1116
1119,2098
2124,1120
2235,1121
1122,2160
1129,2187
1138,2133
2106,1139
1140,2040
2146,1141
2233,1143
2176,1148
1149,2125
1153,2083
1156,2197
2077,1157
2265,1162
1165,2042
2192,1166
2072,1167
1171,2164
2227,1175
2020,1176
1182,2097
2081,1185
1186,2190
1187,2054
2210,1191
2239,1192
1194,2006
1196,2049
1198,2096
2105,1199
1202,2043
1203,2140
2155,1211
2075,1214
2183,1215
2207,1216
2060,1217
1223,2018
2171,1224
2135,1229
2272,1232
1233,2003
1234,2078
1235,2156
1236,2174
2209,1237
1239,2242
2206,1241
2093,1242
1245,2027
1246,2147
2269,1248
2244,1251
1252,2010
2229,1254
1255,2035
1256,2223
1259,2132
2023,1266
1267,2199
1269,2262
1271,2232
1272,2145
