group1,group2
1001,2213
2256,1002
2047,1003
2057,1004
1008,2152
2099,1009
1010,2168
2118,1011
1012,2090
2264,1016
1017,2107
2254,1018
1027,2063
1029,2234
2169,1032
1034,2181
2044,1037
2015,1038
2153,1040
2104,1044
2031,1045
2230,1048
2111,1050
1054,2149
2051,1062
2253,1064
1065,2085
1068,2193
2173,1070
2101,1071
2121,1072
2228,1077
2037,1085
2029,1088
2108,1089
2185,1090
1093,2175
1094,2266
1095,2195
1098,2130
1099,2009
2161,1101
1102,2182
1105,2251
2017,1106
2205,1107
1110,2084
1111,2240
2033,1117
2070,1118
2008,1124
2178,1125
1126,2143
1127,2248
1130,2208
2163,1131
2004,1133
1134,2221
2255,1135
2094,1136
1144,2258
1145,2260
2226,1146
1147,2191
2028,1150
2013,1151
1152,2038
1154,2247
2102,1160
1161,2250
1163,2103
1164,2062
1170,2086
1172,2016
1174,2136
2138,1177
1180,2270
2067,1181
2158,1183
2024,1188
1189,2203
2225,1195
1201,2167
2079,1204
2154,1208
1209,2109
2215,1210
1213,2141
2014,1218
2115,1219
1221,2231
2263,1222
1227,2238
1228,2123
2022,1230
1240,2186
2073,1249
1250,2100
2119,1253
1257,2117
2170,1258
1260,2041
2064,1261
2212,1262
2179,1263
1264,2243
2080,1265
2087,1270
