group1,group2
1005,2019
2237,1006
2069,1007
2002,1013
2139,1014
1015,2200
1020,2222
1021,2189
2046,1022
1023,2012
2157,1025
2092,1026
1030,2127
1035,2113
1039,2211
2252,1042
1043,2172
2137,1046
1047,2204
1051,2177
2088,1052
1053,2214
1055,2026
2036,1056
1057,2131
1059,2120
2259,1060
2162,1061
1069,2050
2180,1073
2216,1074
1076,2246
2267,1079
2236,1082
1084,2082
1086,2011
1087,2114
2134,1091
1096,2220
2059,1097
2151,1103
1104,2068
1109,2116
1113,2257
1115,2166
2095,1116
1119,2098
2124,1120
1122,2160
2219,1123
1129,2187
2074,1132
1138,2133
2146,1141
2233,1143
1149,2125
1153,2083
2077,1157
1158,2159
1159,2144
2265,1162
1165,2042
2192,1166
2072,1167
1173,2122
2227,1175
2020,1176
1182,2097
1184,2128
2081,1185
1186,2190
1187,2054
1194,2006
1196,2049
1198,2096
2105,1199
1202,2043
1203,2140
2126,1205
1206,2188
1207,2261
2155,1211
1212,2091
2207,1216
2060,1217
1223,2018
2171,1224
1225,2112
2089,1226
2135,1229
2272,1232
1233,2003
1234,2078
1235,2156
1236,2174
2196,1238
2206,1241
2093,1242
1244,2184
1245,2027
2269,1248
1252,2010
2229,1254
1255,2035
1256,2223
1259,2132
2023,1266
1267,2199
1269,2262
