group1,group2
2213,1001
2099,1009
2002,1013
2200,1015
1016,2264
2107,1017
1019,2268
1021,2189
1022,2046
1023,2012
2092,1026
2202,1028
2234,1029
1034,2181
1035,2113
2211,1039
2271,1041
2104,1044
2204,1047
2007,1049
1050,2111
1053,2214
1062,2051
2050,1069
1071,2101
1073,2180
1074,2216
2005,1075
2236,1082
2055,1083
1084,2082
1090,2185
2065,1092
1093,2175
2059,1097
2130,1098
2009,1099
1101,2161
2151,1103
1108,2224
2084,1110
2257,1113
2194,1114
2124,1120
1121,2235
2160,1122
1126,2143
2248,1127
1128,2052
1129,2187
1130,2208
1132,2074
1134,2221
1135,2255
2061,1137
2133,1138
1139,2106
1140,2040
1141,2146
1144,2258
2226,1146
1148,2176
2028,1150
2038,1152
2083,1153
1154,2247
2197,1156
2192,1166
2072,1167
1169,2201
1171,2164
1172,2016
1179,2048
2067,1181
2128,1184
1189,2203
1191,2210
2049,1196
2217,1200
2167,1201
2140,1203
1205,2126
2109,1209
2215,1210
1212,2091
1214,2075
1215,2183
2045,1220
2231,1221
1222,2263
1223,2018
1226,2089
2123,1228
2022,1230
1231,2056
2272,1232
2003,1233
2093,1242
1245,2027
2147,1246
1250,2100
1252,2010
2035,1255
2132,1259
2179,1263
2080,1265
1266,2023
2262,1269
1272,2145
