group1,group2
1011,2118
1019,2268
2092,1026
1027,2063
1029,2234
2169,1032
1033,2058
2113,1035
1041,2271
2252,1042
1044,2104
1047,2204
2111,1050
2177,1051
1053,2214
1055,2026
2198,1058
1061,2162
1064,2253
2150,1066
1067,2039
2101,1071
1073,2180
1074,2216
2005,1075
2246,1076
1077,2228
1078,2071
2267,1079
1080,2032
1082,2236
1085,2037
2011,1086
2108,1089
2134,1091
2065,1092
2266,1094
1096,2220
2130,1098
1100,2034
2182,1102
2084,1110
2240,1111
1112,2110
1113,2257
1115,2166
1117,2033
2070,1118
1120,2124
1122,2160
1123,2219
1125,2178
1131,2163
1133,2004
2094,1136
2061,1137
2146,1141
2025,1142
1144,2258
2226,1146
2191,1147
1148,2176
2038,1152
2083,1153
1154,2247
1159,2144
2192,1166
2201,1169
1173,2122
2227,1175
1179,2048
2067,1181
2128,1184
2081,1185
2190,1186
1188,2024
2021,1193
1195,2225
2096,1198
2105,1199
2217,1200
1204,2079
1205,2126
1206,2188
1210,2215
1214,2075
1218,2014
2115,1219
1220,2045
1221,2231
1222,2263
2112,1225
1231,2056
2078,1234
1236,2174
1239,2242
2093,1242
1248,2269
2073,1249
1250,2100
1252,2010
1253,2119
2229,1254
2035,1255
1257,2117
2170,1258
2132,1259
2041,1260
2243,1264
