group1,group2
2015,1002
2108,1004
1006,2164
1010,2284
1011,2250
1012,2278
1020,2259
2031,1021
1023,2280
2135,1026
2071,1030
2180,1032
2281,1039
2036,1041
1046,2212
2074,1047
2185,1050
2133,1051
1054,2163
1058,2012
2178,1061
1062,2094
1063,2246
1064,2145
2077,1066
1068,2004
2088,1070
2057,1071
1072,2290
1073,2209
2200,1074
2027,1075
1076,2078
1077,2263
1081,2160
2101,1084
1089,2318
1091,2301
1092,2247
1095,2312
1101,2296
1105,2288
1107,2035
1111,2253
2141,1113
1115,2240
2188,1116
2228,1117
2010,1118
2315,1122
2299,1126
2019,1127
1130,2226
1132,2238
2224,1134
1136,2166
1138,2150
1142,2181
1143,2248
1145,2068
1146,2053
1149,2155
2237,1155
2105,1156
2254,1159
2270,1165
1166,2016
1167,2229
1170,2171
2261,1171
1174,2127
1175,2032
2273,1176
1177,2131
2177,1184
2106,1185
1186,2277
1189,2201
1193,2286
2122,1198
1201,2049
2024,1204
2070,1205
1206,2083
1207,2291
2093,1210
1211,2147
2018,1216
1219,2303
1221,2137
1224,2187
2120,1225
2102,1227
2126,1234
2260,1235
1237,2026
2196,1239
1240,2040
1249,2103
2117,1250
1253,2043
1255,2002
2037,1257
2274,1258
2176,1259
1260,2255
2205,1262
1263,2269
2282,1264
1266,2125
1267,2041
1269,2039
1270,2258
2029,1272
2221,1273
1274,2189
1277,2112
2096,1280
2129,1282
1283,2165
1285,2144
1286,2191
1287,2013
2233,1288
2116,1292
1308,2300
1312,2065
1317,2118
