group1,group2
2256,1002
1007,2069
2152,1008
2118,1011
2090,1012
1013,2002
1018,2254
1019,2268
1020,2222
1021,2189
1022,2046
1028,2202
1033,2058
1036,2066
1037,2044
2015,1038
1039,2211
2252,1042
1044,2104
1045,2031
2230,1048
1049,2007
2177,1051
2036,1056
1057,2131
1061,2162
2253,1064
1067,2039
2193,1068
1069,2050
1070,2173
1072,2121
2246,1076
1078,2071
2267,1079
2032,1080
1084,2082
1088,2029
2108,1089
1095,2195
2059,1097
2130,1098
2009,1099
1100,2034
2161,1101
1107,2205
1108,2224
2098,1119
1122,2160
2143,1126
1128,2052
2208,1130
2074,1132
2221,1134
2233,1143
1144,2258
2191,1147
1148,2176
1153,2083
1155,2218
1156,2197
2077,1157
2159,1158
2103,1163
2042,1165
1169,2201
1172,2016
1173,2122
1176,2020
2138,1177
1179,2048
2067,1181
1184,2128
2081,1185
2021,1193
1194,2006
2245,1197
2217,1200
2154,1208
1209,2109
1211,2155
2091,1212
1213,2141
2183,1215
1216,2207
2014,1218
2115,1219
1222,2263
2171,1224
2112,1225
1226,2089
1227,2238
1229,2135
2156,1235
1238,2196
2242,1239
2186,1240
1242,2093
2027,1245
2147,1246
2129,1247
1248,2269
2073,1249
2244,1251
1257,2117
1258,2170
2001,1268
2262,1269
2232,1271
