group1,group2
2047,1003
1010,2168
1011,2118
2200,1015
1019,2268
2046,1022
2092,1026
1029,2234
2169,1032
1033,2058
2181,1034
2113,1035
2066,1036
2252,1042
1044,2104
1045,2031
1047,2204
2111,1050
2177,1051
1053,2214
1055,2026
2198,1058
1061,2162
2076,1063
2150,1066
1067,2039
2101,1071
1072,2121
1074,2216
2246,1076
1077,2228
1078,2071
1080,2032
1082,2236
1083,2055
1085,2037
2011,1086
2108,1089
2134,1091
2065,1092
2266,1094
1096,2220
2130,1098
1100,2034
2240,1111
1113,2257
1115,2166
2070,1118
1120,2124
1122,2160
1123,2219
1125,2178
2208,1130
1133,2004
1134,2221
2255,1135
2094,1136
2146,1141
2025,1142
2191,1147
1148,2176
2083,1153
1154,2247
1159,2144
2062,1164
2192,1166
2201,1169
1173,2122
2136,1174
2227,1175
1179,2048
2067,1181
2128,1184
2081,1185
1188,2024
2210,1191
1195,2225
2105,1199
2217,1200
1204,2079
1205,2126
1206,2188
2154,1208
2141,1213
1218,2014
1220,2045
1221,2231
1222,2263
1224,2171
1226,2089
2022,1230
2078,1234
2156,1235
1236,2174
2209,1237
1239,2242
2093,1242
1248,2269
2073,1249
1253,2119
2229,1254
2035,1255
1257,2117
2170,1258
1261,2064
1262,2212
2243,1264
2199,1267
1272,2145
