group1,group2
2015,1002
2108,1004
2256,1005
2164,1006
2234,1007
2232,1008
1017,2042
1018,2198
1019,2038
2259,1020
2123,1022
1023,2280
1026,2135
2241,1029
1032,2180
2174,1035
2227,1036
1037,2203
1040,2223
2195,1043
1044,2264
2113,1045
2212,1046
1047,2074
2011,1049
1050,2185
1052,2148
1054,2163
1055,2089
1058,2012
1061,2178
2094,1062
2246,1063
1068,2004
2057,1071
2290,1072
2078,1076
1078,2115
1083,2062
2052,1086
1087,2309
2087,1088
1091,2301
2050,1094
2312,1095
2021,1096
2310,1097
2085,1103
1105,2288
2279,1106
1108,2175
1110,2204
1113,2141
1116,2188
2315,1122
1133,2283
1135,2266
1139,2051
1145,2068
1146,2053
1148,2060
1155,2237
1158,2230
2167,1161
2220,1162
2034,1169
2171,1170
2202,1172
2127,1174
1183,2072
1185,2106
2277,1186
2268,1187
1197,2207
1198,2122
2275,1200
2049,1201
1206,2083
1209,2297
1211,2147
2243,1214
2139,1215
1219,2303
2092,1220
1221,2137
1222,2242
1225,2120
1226,2003
2059,1229
2086,1230
2044,1231
1232,2075
2173,1233
1234,2126
2260,1235
2210,1236
1238,2276
1239,2196
1242,2132
2091,1243
2236,1245
1248,2140
1251,2262
1255,2002
2215,1256
2274,1258
2176,1259
1262,2205
1265,2114
2125,1266
2216,1271
2029,1272
1273,2221
1274,2189
2168,1278
1282,2129
1284,2225
1285,2144
1286,2191
2233,1288
2048,1289
1293,2007
2058,1295
1299,2119
2100,1301
2046,1303
2158,1310
2022,1311
