group1,group2
1001,2213
1002,2256
1004,2057
2019,1005
1007,2069
1008,2152
1012,2090
2002,1013
1014,2139
1016,2264
2254,1018
1020,2222
2189,1021
1023,2012
1024,2030
1028,2202
2127,1030
2044,1037
1039,2211
1040,2153
2172,1043
2137,1046
1048,2230
1049,2007
2088,1052
2036,1056
1057,2131
1059,2120
2051,1062
1065,2085
1068,2193
1069,2050
1081,2249
2082,1084
2114,1087
2029,1088
2185,1090
1093,2175
1095,2195
1097,2059
2009,1099
2161,1101
2151,1103
1104,2068
2251,1105
1106,2017
1107,2205
1108,2224
2116,1109
2194,1114
1116,2095
2235,1121
2008,1124
1128,2052
2187,1129
1138,2133
2040,1140
2233,1143
2028,1150
2218,1155
1156,2197
2077,1157
1158,2159
1160,2102
2265,1162
2103,1163
2072,1167
1168,2148
1170,2086
1171,2164
1177,2138
1180,2270
2097,1182
2158,1183
1187,2054
2203,1189
1190,2165
2239,1192
2049,1196
2245,1197
1201,2167
2043,1202
1203,2140
2261,1207
1209,2109
1211,2155
2183,1215
1216,2207
1217,2060
2018,1223
2238,1227
1229,2135
2272,1232
1233,2003
1238,2196
2186,1240
1243,2053
2184,1244
2027,1245
1246,2147
2129,1247
2223,1256
2179,1263
2080,1265
1266,2023
2001,1268
1270,2087
2232,1271
