group1,group2
2108,1004
1006,2164
1010,2284
1011,2250
2124,1013
2198,1018
1020,2259
2031,1021
1022,2123
2211,1024
2135,1026
2071,1030
2180,1032
2227,1036
1046,2212
2074,1047
2133,1051
1054,2163
2089,1055
1056,2184
1058,2012
1059,2186
2178,1061
1062,2094
1063,2246
1064,2145
2077,1066
1068,2004
1069,2313
2088,1070
2057,1071
1073,2209
2200,1074
2027,1075
1076,2078
1077,2263
2005,1080
2101,1084
1089,2318
2067,1090
1092,2247
1095,2312
1101,2296
1107,2035
1109,2128
1111,2253
2141,1113
1115,2240
2188,1116
2228,1117
1119,2161
2299,1126
1130,2226
1132,2238
2224,1134
1138,2150
2051,1139
1142,2181
1143,2248
1145,2068
1146,2053
1149,2155
2311,1152
2105,1156
2217,1157
2254,1159
2220,1162
2270,1165
1166,2016
1167,2229
2034,1169
1170,2171
1174,2127
2273,1176
1177,2131
2072,1183
2268,1187
1189,2201
2122,1198
1203,2307
2024,1204
2070,1205
1206,2083
1207,2291
2320,1208
2093,1210
1211,2147
2018,1216
1219,2303
1221,2137
2102,1227
2126,1234
1240,2040
2149,1241
1245,2236
1249,2103
2117,1250
1253,2043
2037,1257
2176,1259
2205,1262
1263,2269
2282,1264
1266,2125
1269,2039
1270,2258
2029,1272
2221,1273
1274,2189
1277,2112
2129,1282
1283,2165
1285,2144
1286,2191
1287,2013
2233,1288
2116,1292
1295,2058
1296,2214
1297,2006
2064,1298
1308,2300
2179,1309
1312,2065
2084,1314
1316,2319
1317,2118
1318,2097
