group1,group2
2272,1001
2222,1003
1010,2284
1014,2208
1016,2218
1017,2042
2198,1018
2038,1019
2146,1025
2304,1027
2017,1028
1034,2251
1035,2174
2107,1038
2223,1040
1042,2028
2195,1043
2074,1047
1048,2045
1049,2011
1050,2185
1051,2133
1053,2138
1054,2163
2089,1055
1056,2184
2186,1059
2145,1064
1065,2099
2004,1068
1069,2313
1070,2088
1072,2290
2209,1073
1078,2115
2047,1079
1081,2160
2101,1084
2052,1086
1088,2087
1090,2067
2301,1091
2050,1094
1096,2021
1099,2104
2054,1100
2085,1103
1111,2253
2055,1128
2238,1132
1138,2150
2023,1140
1143,2248
2289,1147
2060,1148
1151,2081
1153,2285
2237,1155
2217,1157
2254,1159
1161,2167
2016,1166
2229,1167
1170,2171
1171,2261
2127,1174
2032,1175
1177,2131
1178,2157
2244,1179
2151,1181
2072,1183
1188,2287
1189,2201
2172,1190
1200,2275
2070,1205
2083,1206
2291,1207
2093,1210
2130,1212
1213,2182
1215,2139
2018,1216
1219,2303
1221,2137
1224,2187
2293,1228
2086,1230
2044,1231
1235,2260
2196,1239
1242,2132
2091,1243
1246,2162
1247,2014
1248,2140
2262,1251
1252,2073
1253,2043
2274,1258
1260,2255
2282,1264
1266,2125
1270,2258
1271,2216
2029,1272
2189,1274
1275,2009
1278,2168
1280,2096
2165,1283
1285,2144
2013,1287
1289,2048
1293,2007
2058,1295
2214,1296
2006,1297
1299,2119
1301,2100
1304,2213
2305,1307
2300,1308
2179,1309
2022,1311
1313,2061
1320,2076
