group1,group2
1003,2267
2221,1011
2107,1012
2067,1013
2192,1014
1017,2086
2155,1024
2320,1027
1031,2051
2004,1038
1040,2078
2151,1043
2163,1045
2016,1046
1047,2036
2041,1048
1049,2219
2186,1050
1053,2276
2068,1055
2217,1057
1059,2090
1060,2139
1061,2108
2226,1064
2316,1065
2169,1067
2209,1068
1070,2243
2234,1072
2232,1074
1076,2261
2206,1077
1080,2194
2160,1083
2019,1084
2113,1086
2258,1088
1090,2231
1094,2114
2170,1097
1099,2213
1100,2317
2097,1112
2205,1120
2105,1122
2225,1125
2143,1127
1131,2149
1134,2038
2313,1135
1138,2253
2152,1140
1142,2308
1143,2172
1145,2085
2126,1147
2268,1148
1152,2024
1154,2184
1155,2280
1158,2010
2075,1160
1163,2059
1166,2272
2084,1167
1171,2060
2049,1173
2290,1178
2008,1179
2095,1180
1181,2177
1182,2223
2025,1183
1188,2044
1191,2079
2029,1192
2116,1194
2262,1195
2061,1197
1202,2066
2273,1203
1204,2098
2218,1206
1207,2032
1211,2187
2070,1212
2028,1213
2101,1216
2033,1217
1223,2307
2171,1228
1230,2214
2081,1236
2117,1239
2211,1247
2238,1249
2319,1250
1251,2249
2039,1254
2306,1256
2190,1259
1263,2299
2064,1265
1270,2127
1276,2100
1281,2145
1282,2012
1285,2006
2031,1286
2181,1288
1289,2150
1290,2178
1291,2076
2011,1292
2042,1294
1297,2030
1298,2279
1300,2094
1302,2099
1303,2182
1304,2080
2274,1306
2072,1308
1311,2189
2112,1317
2134,1318
1319,2257
