group1,group2
2213,1001
2019,1005
2099,1009
2002,1013
2200,1015
1016,2264
2107,1017
1019,2268
1021,2189
1023,2012
1024,2030
2157,1025
2092,1026
2063,1027
2202,1028
1034,2181
1035,2113
2211,1039
2153,1040
1048,2230
2007,1049
1050,2111
1053,2214
1062,2051
1063,2076
2253,1064
1066,2150
2193,1068
2050,1069
1071,2101
1073,2180
1074,2216
2005,1075
2246,1076
1081,2249
2236,1082
1084,2082
1090,2185
1093,2175
1094,2266
2059,1097
2130,1098
1101,2161
2084,1110
2257,1113
2194,1114
2124,1120
1121,2235
1126,2143
1128,2052
1129,2187
1130,2208
1132,2074
1134,2221
1135,2255
2061,1137
2133,1138
1139,2106
1140,2040
1145,2260
2226,1146
1147,2191
1148,2176
2028,1150
2038,1152
2083,1153
2265,1162
2192,1166
2072,1167
2148,1168
1169,2201
1171,2164
1172,2016
1179,2048
2067,1181
2190,1186
2049,1196
1197,2245
2217,1200
2043,1202
2140,1203
1205,2126
2109,1209
1212,2091
1214,2075
1215,2183
2231,1221
1222,2263
1223,2018
1226,2089
2022,1230
2272,1232
2003,1233
1236,2174
2209,1237
2186,1240
2093,1242
1243,2053
1244,2184
1245,2027
2147,1246
1250,2100
1252,2010
1254,2229
2132,1259
2179,1263
2080,1265
1267,2199
