group1,group2
2108,1004
2164,1006
1010,2284
1011,2250
2265,1015
2031,1021
1022,2123
2280,1023
2304,1027
1028,2017
1030,2071
1032,2180
1033,2271
1034,2251
1037,2203
2107,1038
2281,1039
1041,2036
2264,1044
1045,2113
2133,1051
1052,2148
1055,2089
1059,2186
1060,2143
1066,2077
1070,2088
2057,1071
1073,2209
1079,2047
1083,2062
1084,2101
1088,2087
2154,1093
1096,2021
2310,1097
1101,2296
1104,2001
2175,1108
2253,1111
2199,1112
2188,1116
2228,1117
1119,2161
1120,2090
2069,1121
2156,1123
1127,2019
2226,1130
1133,2283
2224,1134
1136,2166
1138,2150
1140,2023
2181,1142
1144,2066
1145,2068
2289,1147
2060,1148
2206,1154
2105,1156
2217,1157
1158,2230
2167,1161
1166,2016
1168,2239
2034,1169
1171,2261
1172,2202
2032,1175
1180,2302
2020,1182
1183,2072
2177,1184
1186,2277
2268,1187
2201,1189
2219,1191
2252,1192
1193,2286
1199,2033
2275,1200
2049,1201
1202,2159
2307,1203
1208,2320
1210,2093
1211,2147
1212,2130
1217,2136
1230,2086
1231,2044
2126,1234
2026,1237
1239,2196
2236,1245
2162,1246
2140,1248
2103,1249
2117,1250
2073,1252
2043,1253
2002,1255
2215,1256
2274,1258
1260,2255
1261,2121
2269,1263
2114,1265
1273,2221
1274,2189
1278,2168
2096,1280
2095,1281
2129,1282
2165,1283
1287,2013
2233,1288
2098,1291
2007,1293
2058,1295
2082,1300
1301,2100
1302,2079
1306,2056
2305,1307
1308,2300
2065,1312
