group1,group2
1001,2272
2222,1003
2256,1005
1007,2234
1008,2232
1012,2278
2208,1014
2042,1017
2038,1019
2259,1020
1024,2211
1025,2146
1026,2135
2142,1031
1035,2174
2028,1042
1046,2212
2074,1047
2011,1049
2185,1050
1053,2138
1054,2163
1056,2184
1057,2134
1058,2012
1062,2094
1063,2246
1065,2099
2306,1067
2004,1068
2313,1069
2290,1072
1075,2027
1077,2263
1078,2115
1080,2005
2160,1081
1082,2317
1086,2052
2309,1087
2318,1089
1091,2301
2247,1092
2312,1095
1098,2063
2314,1102
2085,1103
2279,1106
2035,1107
2128,1109
1113,2141
1115,2240
1122,2315
2308,1125
2299,1126
1128,2055
1131,2109
2238,1132
1135,2266
1137,2298
1139,2051
1149,2155
2316,1150
1151,2081
1152,2311
2285,1153
2237,1155
2254,1159
2220,1162
2111,1163
2192,1164
1165,2270
2229,1167
1170,2171
1173,2197
2127,1174
1176,2273
2157,1178
1179,2244
1181,2151
1185,2106
2169,1194
2025,1195
2207,1197
1198,2122
2070,1205
2083,1206
2182,1213
2243,1214
2139,1215
2152,1218
2092,1220
2137,1221
1222,2242
2102,1227
1229,2059
1232,2075
2173,1233
2260,1235
1238,2276
2040,1240
1242,2132
1244,2190
2014,1247
2262,1251
1254,2030
2037,1257
1264,2282
1266,2125
2041,1267
2029,1272
2009,1275
1276,2231
2191,1286
1290,2257
1292,2116
2080,1294
2006,1297
2119,1299
1304,2213
2245,1305
1309,2179
2158,1310
1311,2022
1313,2061
2118,1317
1319,2295
1320,2076
