group1,group2
2057,1004
1005,2019
2237,1006
1007,2069
1009,2099
1010,2168
1012,2090
1013,2002
2200,1015
1016,2264
2222,1020
2189,1021
2030,1024
1025,2157
1027,2063
1031,2142
2169,1032
2181,1034
1035,2113
1039,2211
1040,2153
2172,1043
1045,2031
1047,2204
2088,1052
1054,2149
1058,2198
2120,1059
1060,2259
1061,2162
2253,1064
2085,1065
1066,2150
2193,1068
2173,1070
1072,2121
1074,2216
1078,2071
1079,2267
2055,1083
2011,1086
2029,1088
1091,2134
1097,2059
2009,1099
1101,2161
1102,2182
2251,1105
2116,1109
2084,1110
1111,2240
1112,2110
2194,1114
1118,2070
2008,1124
2143,1126
1128,2052
2187,1129
2163,1131
2074,1132
2004,1133
1136,2094
2133,1138
2106,1139
2233,1143
2260,1145
1147,2191
1154,2247
2077,1157
1158,2159
2102,1160
1162,2265
1163,2103
1166,2192
2072,1167
2164,1171
1172,2016
2122,1173
2241,1178
1179,2048
1185,2081
2203,1189
1190,2165
1194,2006
2096,1198
1199,2105
1200,2217
1203,2140
2079,1204
1207,2261
2141,1213
2075,1214
2014,1218
1221,2231
2263,1222
1223,2018
1228,2123
2056,1231
1232,2272
1234,2078
1237,2209
2184,1244
1247,2129
2223,1256
2170,1258
2041,1260
2064,1261
2179,1263
2262,1269
