group1,group2
2164,1006
1010,2284
2208,1014
1016,2218
2042,1017
2259,1020
2123,1022
1023,2280
1027,2304
1030,2071
1034,2251
2174,1035
2281,1039
1040,2223
2028,1042
1045,2113
2011,1049
1052,2148
2138,1053
2186,1059
2143,1060
2246,1063
1070,2088
2290,1072
2027,1075
1078,2115
1079,2047
1083,2062
2101,1084
2087,1088
2067,1090
1093,2154
2050,1094
1095,2312
1097,2310
1098,2063
2054,1100
2288,1105
2279,1106
2204,1110
1111,2253
1114,2110
2188,1116
1117,2228
1118,2010
1122,2315
1123,2156
1124,2294
2308,1125
2283,1133
2224,1134
2051,1139
2023,1140
2153,1141
1142,2181
1147,2289
2155,1149
1152,2311
2217,1157
1158,2230
2267,1160
1162,2220
1165,2270
2171,1170
2273,1176
2131,1177
1178,2157
1180,2302
2151,1181
2252,1192
2286,1193
2025,1195
2122,1198
2033,1199
2275,1200
2049,1201
1202,2159
2024,1204
1205,2070
1207,2291
2320,1208
2093,1210
1211,2147
2130,1212
1214,2243
1215,2139
2242,1222
2183,1223
1227,2102
2059,1229
2086,1230
2075,1232
2210,1236
2196,1239
2091,1243
2014,1247
2140,1248
1250,2117
2262,1251
2073,1252
1253,2043
2037,1257
1259,2176
2205,1262
2114,1265
2125,1266
2041,1267
1269,2039
2258,1270
1271,2216
2221,1273
1276,2231
2235,1279
2129,1282
2165,1283
2225,1284
2048,1289
2098,1291
2064,1298
2082,1300
1303,2046
2213,1304
1306,2056
1307,2305
2300,1308
2179,1309
1311,2022
1312,2065
