group1,group2
2057,1004
2237,1006
1007,2069
1009,2099
1010,2168
1012,2090
2200,1015
1016,2264
2268,1019
2222,1020
2189,1021
2012,1023
2030,1024
1027,2063
1031,2142
2181,1034
2066,1036
2044,1037
1039,2211
1040,2153
1045,2031
1047,2204
1051,2177
2026,1055
1058,2198
2120,1059
1060,2259
1061,2162
2253,1064
2085,1065
2193,1068
1072,2121
1073,2180
1074,2216
2228,1077
1079,2267
1080,2032
2055,1083
1085,2037
2011,1086
2029,1088
1091,2134
1095,2195
2009,1099
1100,2034
1101,2161
1102,2182
2251,1105
2205,1107
2116,1109
2084,1110
2194,1114
1118,2070
1119,2098
2219,1123
2187,1129
2163,1131
2004,1133
1136,2094
2061,1137
2133,1138
2146,1141
2260,1145
1147,2191
1154,2247
2077,1157
1158,2159
2102,1160
1162,2265
1166,2192
2072,1167
2148,1168
2164,1171
1172,2016
2122,1173
2136,1174
2241,1178
1179,2048
1185,2081
1190,2165
1194,2006
2096,1198
1199,2105
1200,2217
1203,2140
2079,1204
1206,2188
2141,1213
2075,1214
2014,1218
1221,2231
1223,2018
1228,2123
1234,2078
2174,1236
1237,2209
2186,1240
2093,1242
1247,2129
2229,1254
2223,1256
1257,2117
2170,1258
2041,1260
2064,1261
1262,2212
2179,1263
2243,1264
