group1,group2
1002,2015
2108,1004
2256,1005
2164,1006
2232,1008
1009,2170
2250,1011
2278,1012
2124,1013
1015,2265
1021,2031
2123,1022
1024,2211
2135,1026
2241,1029
1030,2071
2142,1031
2203,1037
1039,2281
2036,1041
2264,1044
1046,2212
2148,1052
2143,1060
1062,2094
2246,1063
2057,1071
2200,1074
2263,1077
2005,1080
1083,2062
2292,1085
2318,1089
1092,2247
2154,1093
2312,1095
1097,2310
1098,2063
1101,2296
2314,1102
1104,2001
1106,2279
1109,2128
2199,1112
1114,2110
1117,2228
2010,1118
2090,1120
2069,1121
1122,2315
1123,2156
2294,1124
1125,2308
1127,2019
2249,1129
2224,1134
1135,2266
1137,2298
1141,2153
1144,2066
2053,1146
1149,2155
1152,2311
2105,1156
1160,2267
1162,2220
2111,1163
1168,2239
2202,1172
2197,1173
1176,2273
2302,1180
2020,1182
2177,1184
1185,2106
1186,2277
2268,1187
1191,2219
1195,2025
1196,2193
1197,2207
2122,1198
1199,2033
1201,2049
2159,1202
2307,1203
1204,2024
2320,1208
1209,2297
2136,1217
1218,2152
2092,1220
2242,1222
2003,1226
2059,1229
1236,2210
1237,2026
1238,2276
1240,2040
2149,1241
1245,2236
2117,1250
2002,1255
2215,1256
1257,2037
1261,2121
2205,1262
2114,1265
2041,1267
2194,1268
2039,1269
1273,2221
2231,1276
1279,2235
1281,2095
2225,1284
2257,1290
1291,2098
1292,2116
2080,1294
1302,2079
1303,2046
2056,1306
2158,1310
2065,1312
1314,2084
1315,2008
2118,1317
