group1,group2
1001,2213
1002,2256
2019,1005
1006,2237
1007,2069
1008,2152
2099,1009
1012,2090
2002,1013
1016,2264
1017,2107
2254,1018
1020,2222
1024,2030
1025,2157
2127,1030
1031,2142
2044,1037
2015,1038
1039,2211
1040,2153
2172,1043
2137,1046
1048,2230
2149,1054
2036,1056
1059,2120
1060,2259
2051,1062
1065,2085
1068,2193
2173,1070
2082,1084
2029,1088
1097,2059
2009,1099
2161,1101
1104,2068
2251,1105
1106,2017
1107,2205
2116,1109
2194,1114
1116,2095
1119,2098
2235,1121
2008,1124
1126,2143
2248,1127
1128,2052
2187,1129
2074,1132
1138,2133
2106,1139
2233,1143
1145,2260
1149,2125
2028,1150
1151,2013
2218,1155
1156,2197
2077,1157
1158,2159
1160,2102
1161,2250
2265,1162
2103,1163
2042,1165
2072,1167
1168,2148
1170,2086
1171,2164
1172,2016
1176,2020
1177,2138
1178,2241
1180,2270
2097,1182
2158,1183
1187,2054
2203,1189
1190,2165
1194,2006
2049,1196
2245,1197
1201,2167
1203,2140
1209,2109
1211,2155
2091,1212
2183,1215
1216,2207
1217,2060
2018,1223
2123,1228
2272,1232
1233,2003
1238,2196
2186,1240
1241,2206
1243,2053
2027,1245
2129,1247
1251,2244
2223,1256
2080,1265
2001,1268
1269,2262
2232,1271
