group1,group2
2256,1002
1003,2047
2057,1004
1006,2237
1007,2069
1008,2152
2168,1010
2118,1011
2090,1012
1014,2139
2254,1018
1030,2127
2142,1031
2058,1033
1036,2066
1037,2044
1043,2172
2031,1045
2137,1046
1051,2177
1052,2088
1054,2149
1056,2036
1057,2131
1058,2198
2120,1059
2259,1060
2162,1061
2039,1067
2173,1070
2071,1078
1079,2267
1080,2032
2037,1085
1086,2011
2114,1087
2029,1088
1091,2134
1095,2195
2220,1096
2034,1100
1102,2182
2068,1104
1107,2205
2116,1109
1111,2240
1116,2095
2033,1117
1118,2070
2098,1119
1123,2219
2008,1124
1125,2178
2163,1131
1142,2025
2233,1143
1151,2013
1155,2218
2159,1158
2144,1159
1161,2250
1163,2103
1164,2062
1165,2042
1170,2086
2122,1173
1175,2227
1176,2020
2138,1177
1178,2241
1180,2270
2097,1182
1185,2081
2054,1187
2024,1188
2165,1190
1192,2239
1194,2006
2225,1195
1198,2096
1199,2105
2079,1204
2188,1206
2261,1207
2154,1208
2155,1211
2141,1213
1216,2207
1217,2060
2014,1218
1219,2115
1224,2171
2112,1225
1234,2078
1235,2156
2196,1238
1241,2206
1247,2129
1248,2269
1251,2244
2119,1253
2223,1256
1257,2117
1258,2170
2041,1260
2064,1261
1262,2212
1264,2243
2001,1268
