group1,group2
2213,1001
2019,1005
2099,1009
2200,1015
1016,2264
1021,2189
1022,2046
1023,2012
1024,2030
2157,1025
2092,1026
2063,1027
2202,1028
2234,1029
1034,2181
2211,1039
2153,1040
2271,1041
2104,1044
2204,1047
1048,2230
2007,1049
1050,2111
1063,2076
2253,1064
1066,2150
2193,1068
2050,1069
1071,2101
1073,2180
1074,2216
2005,1075
2246,1076
1081,2249
2236,1082
2055,1083
1084,2082
2065,1092
1094,2266
2130,1098
2009,1099
2151,1103
1108,2224
2084,1110
2194,1114
2124,1120
1121,2235
2160,1122
1126,2143
2248,1127
1134,2221
1135,2255
1139,2106
1140,2040
1141,2146
1144,2258
1145,2260
2226,1146
1147,2191
2028,1150
2083,1153
1154,2247
2197,1156
2265,1162
2192,1166
2148,1168
1169,2201
2067,1181
2128,1184
2190,1186
1189,2203
1191,2210
1197,2245
2217,1200
2167,1201
2043,1202
2140,1203
1205,2126
2109,1209
2215,1210
1212,2091
1215,2183
2045,1220
2231,1221
1222,2263
1226,2089
2123,1228
2022,1230
1231,2056
2272,1232
1236,2174
2209,1237
2186,1240
2093,1242
1243,2053
1244,2184
1245,2027
2147,1246
1250,2100
1252,2010
1254,2229
2035,1255
2132,1259
2179,1263
2080,1265
1266,2023
1267,2199
2262,1269
1272,2145
