group1,group2
1001,2213
2256,1002
2057,1004
2099,1009
2118,1011
2264,1016
1017,2107
2254,1018
1024,2030
1031,2142
1033,2058
1034,2181
1036,2066
2044,1037
2015,1038
2153,1040
2104,1044
2230,1048
2007,1049
2111,1050
1054,2149
2051,1062
2253,1064
1065,2085
2150,1066
1068,2193
2173,1070
2101,1071
2121,1072
1075,2005
2228,1077
1081,2249
2037,1085
2029,1088
2108,1089
2185,1090
1093,2175
1094,2266
1095,2195
1098,2130
1100,2034
2161,1101
1102,2182
1105,2251
2017,1106
2224,1108
1110,2084
1114,2194
2033,1117
2070,1118
2178,1125
1126,2143
1127,2248
1128,2052
1130,2208
2163,1131
1134,2221
2094,1136
1137,2061
1142,2025
1145,2260
2226,1146
1147,2191
1154,2247
2218,1155
1161,2250
1164,2062
2148,1168
1169,2201
1170,2086
1172,2016
1174,2136
1178,2241
1179,2048
1180,2270
2158,1183
2024,1188
1189,2203
2165,1190
2021,1193
1197,2245
1200,2217
1201,2167
2079,1204
2154,1208
1209,2109
2215,1210
1213,2141
2014,1218
2115,1219
1220,2045
1221,2231
2263,1222
1227,2238
1228,2123
2056,1231
1240,2186
2053,1243
2129,1247
2073,1249
2119,1253
2170,1258
1260,2041
2212,1262
2179,1263
1264,2243
2080,1265
2001,1268
2087,1270
