group1,group2
2213,1001
2237,1006
1009,2099
1016,2264
1017,2107
1023,2012
1024,2030
1025,2157
1026,2092
2127,1030
2142,1031
1035,2113
1041,2271
1043,2172
2137,1046
2204,1047
2088,1052
2214,1053
1054,2149
2026,1055
2198,1058
1059,2120
2051,1062
2076,1063
2150,1066
2180,1073
1074,2216
2005,1075
1077,2228
1083,2055
1085,2037
2011,1086
2114,1087
2185,1090
1092,2065
2266,1094
2151,1103
1104,2068
1105,2251
2017,1106
1110,2084
1111,2240
1114,2194
2166,1115
1116,2095
1123,2219
2248,1127
1129,2187
1133,2004
1135,2255
2094,1136
1137,2061
1138,2133
1139,2106
2040,1140
1141,2146
1142,2025
1145,2260
1146,2226
1150,2028
2013,1151
2247,1154
2144,1159
2102,1160
1161,2250
2062,1164
1168,2148
2086,1170
1174,2136
1175,2227
1178,2241
2270,1180
1183,2158
2054,1187
1188,2024
2165,1190
2210,1191
2239,1192
2049,1196
2096,1198
1199,2105
2167,1201
1202,2043
2140,1203
1204,2079
2261,1207
1210,2215
2075,1214
2231,1221
2018,1223
1228,2123
1230,2022
2078,1234
2174,1236
2209,1237
1241,2206
2053,1243
1250,2100
2010,1252
2229,1254
2132,1259
2041,1260
1261,2064
1262,2212
2179,1263
1264,2243
1266,2023
1270,2087
1272,2145
