group1,group2
2256,1002
1005,2019
1007,2069
2152,1008
1010,2168
2090,1012
1013,2002
1019,2268
1020,2222
1028,2202
1033,2058
1036,2066
2015,1038
1039,2211
2252,1042
1044,2104
1045,2031
1049,2007
2111,1050
2177,1051
2036,1056
1060,2259
1061,2162
2253,1064
1067,2039
1069,2050
2246,1076
2267,1079
1081,2249
2236,1082
1084,2082
1088,2029
2134,1091
1095,2195
1096,2220
2059,1097
2130,1098
2009,1099
2161,1101
1102,2182
1107,2205
2116,1109
1113,2257
2033,1117
2098,1119
1120,2124
1121,2235
1124,2008
1128,2052
2208,1130
2074,1132
2221,1134
2233,1143
1144,2258
2191,1147
2038,1152
1153,2083
1155,2218
1156,2197
2077,1157
2159,1158
2103,1163
2042,1165
2192,1166
2072,1167
1169,2201
1172,2016
1173,2122
1176,2020
2138,1177
1179,2048
2067,1181
1184,2128
2081,1185
2203,1189
2021,1193
1194,2006
2245,1197
2217,1200
2188,1206
1209,2109
1211,2155
1213,2141
1216,2207
1217,2060
2014,1218
2115,1219
1222,2263
1226,2089
1227,2238
1229,2135
2056,1231
2272,1232
1233,2003
1238,2196
2242,1239
2184,1244
2027,1245
2147,1246
1248,2269
2073,1249
2244,1251
2035,1255
2223,1256
1257,2117
1258,2170
2001,1268
2262,1269
2232,1271
