group1,group2
2047,1003
1004,2057
2237,1006
1009,2099
2139,1014
1015,2200
1016,2264
1017,2107
1024,2030
1025,2157
1026,2092
1027,2063
2234,1029
2142,1031
1032,2169
2181,1034
1035,2113
1040,2153
1041,2271
2137,1046
2204,1047
2088,1052
2198,1058
1059,2120
2076,1063
2085,1065
2150,1066
2101,1071
2180,1073
1074,2216
1077,2228
1083,2055
1085,2037
2011,1086
2185,1090
1092,2065
1093,2175
2266,1094
2151,1103
1104,2068
1105,2251
2017,1106
1110,2084
1111,2240
1112,2110
1114,2194
2166,1115
1116,2095
2070,1118
1123,2219
2178,1125
2248,1127
2163,1131
1133,2004
1135,2255
1137,2061
1138,2133
1139,2106
2040,1140
1142,2025
2125,1149
1150,2028
2013,1151
2144,1159
2102,1160
1161,2250
1162,2265
2062,1164
1168,2148
2086,1170
1171,2164
1174,2136
1175,2227
1178,2241
2270,1180
1182,2097
1183,2158
2190,1186
2165,1190
2210,1191
1195,2225
2049,1196
2096,1198
2167,1201
1205,2126
2261,1207
1210,2215
2075,1214
1220,2045
2018,1223
1228,2123
1230,2022
2078,1234
2174,1236
2209,1237
1250,2100
2010,1252
2119,1253
2132,1259
1261,2064
1262,2212
2179,1263
1264,2243
2080,1265
1266,2023
2199,1267
1270,2087
1272,2145
