group1,group2
1002,2015
2108,1004
2256,1005
2164,1006
2234,1007
2232,1008
1009,2170
2250,1011
2124,1013
1015,2265
1021,2031
2123,1022
2280,1023
1024,2211
2135,1026
2241,1029
1030,2071
2142,1031
2203,1037
1039,2281
2036,1041
2264,1044
1046,2212
1057,2134
2143,1060
1066,2077
2057,1071
2200,1074
2263,1077
2005,1080
2317,1082
1083,2062
2318,1089
1092,2247
2154,1093
1097,2310
1098,2063
1101,2296
2314,1102
1104,2001
2288,1105
1106,2279
1113,2141
1114,2110
2010,1118
1119,2161
2090,1120
2069,1121
1122,2315
1123,2156
2294,1124
1125,2308
1126,2299
1127,2019
2226,1130
1131,2109
1133,2283
2224,1134
2166,1136
1137,2298
1139,2051
1141,2153
2181,1142
1144,2066
2053,1146
1149,2155
1150,2316
1152,2311
2105,1156
1158,2230
1160,2267
1162,2220
1164,2192
1169,2034
2202,1172
2197,1173
2020,1182
1185,2106
1186,2277
2268,1187
1191,2219
2286,1193
1195,2025
1197,2207
1199,2033
2159,1202
2307,1203
1211,2147
2136,1217
2092,1220
2183,1223
2003,1226
2059,1229
1232,2075
1233,2173
1234,2126
1237,2026
1238,2276
2190,1244
1245,2236
2103,1249
2117,1250
2215,1256
1257,2037
1261,2121
2205,1262
2114,1265
2041,1267
2194,1268
2039,1269
1279,2235
1281,2095
2225,1284
1288,2233
1291,2098
1292,2116
2080,1294
1300,2082
1302,2079
1303,2046
1305,2245
2056,1306
2065,1312
1314,2084
1315,2008
2319,1316
2118,1317
1318,2097
