group1,group2
2267,1003
1008,2284
1009,2141
1014,2192
2303,1015
2202,1020
1024,2155
1027,2320
2233,1030
1034,2148
1035,2179
2048,1036
1037,2161
1038,2004
1039,2015
2252,1041
1043,2151
1044,2310
2041,1048
2219,1049
1051,2142
2068,1055
2302,1056
1060,2139
1062,2188
2285,1066
1071,2055
2115,1073
2232,1074
2082,1075
2261,1076
1078,2023
2265,1081
2160,1083
1085,2057
1086,2113
2083,1087
2106,1089
1092,2203
2132,1093
1095,2259
2170,1097
1100,2317
2220,1107
2136,1117
2069,1119
1120,2205
2105,1122
2143,1127
1136,2047
2035,1137
1139,2045
1141,2164
1142,2308
1143,2172
1145,2085
2126,1147
1148,2268
1151,2287
1156,2292
1157,2104
1158,2010
1160,2075
2052,1161
2059,1163
2156,1169
1170,2235
1172,2244
1175,2128
2290,1178
1183,2025
2180,1186
1190,2146
1191,2079
1196,2204
1201,2093
1203,2273
1206,2218
1209,2224
1212,2070
2277,1214
2033,1217
2291,1218
1220,2240
1228,2171
1229,2239
1232,2318
2021,1234
2124,1237
2117,1239
1240,2062
2245,1241
1243,2056
2319,1250
2249,1251
2173,1255
1256,2306
2133,1258
2190,1259
1263,2299
2242,1267
2153,1268
1270,2127
2183,1273
1275,2074
2027,1277
2014,1280
1282,2012
2073,1283
1285,2006
2031,1286
2102,1287
1288,2181
2150,1289
2076,1291
2011,1292
2042,1294
2256,1295
1296,2168
1300,2094
1301,2003
2099,1302
1305,2301
2110,1310
1311,2189
1312,2137
2230,1313
2119,1315
