Accession,group1,group2
SSA_00051,1001,2272
SSA_00161,2015,1002
SSA_00087,2222,1003
SSA_00209,2108,1004
SSA_00369,2256,1005
SSA_00255,2164,1006
SSA_00314,1007,2234
SSA_00053,1008,2232
SSA_00107,1009,2170
SSA_00075,2284,1010
SSA_00157,1011,2250
SSA_00313,2278,1012
SSA_00023,1013,2124
SSA_00154,2208,1014
SSA_00264,1015,2265
SSA_00287,1016,2218
SSA_00003,2042,1017
SSA_00187,2198,1018
SSA_00034,1019,2038
SSA_00200,2259,1020
SSA_00167,2031,1021
SSA_00029,2123,1022
SSA_00079,1023,2280
SSA_00179,1024,2211
SSA_00108,1025,2146
SSA_00212,2135,1026
SSA_00006,2304,1027
SSA_00132,1028,2017
SSA_00284,1029,2241
SSA_00232,2071,1030
SSA_00297,1031,2142
SSA_00010,1032,2180
SSA_00304,1033,2271
SSA_00258,1034,2251
SSA_00047,1035,2174
SSA_00164,2227,1036
SSA_00168,1037,2203
SSA_00026,1038,2107
SSA_00266,1039,2281
SSA_00180,2223,1040
SSA_00183,2036,1041
SSA_00262,1042,2028
SSA_00105,1043,2195
SSA_00286,2264,1044
SSA_00242,1045,2113
SSA_00261,1046,2212
SSA_00302,1047,2074
SSA_00259,2045,1048
SSA_00009,2011,1049
SSA_00205,2185,1050
SSA_00041,2133,1051
SSA_00086,2148,1052
SSA_00199,2138,1053
SSA_00136,1054,2163
SSA_00139,1055,2089
SSA_00044,2184,1056
SSA_00109,1057,2134
SSA_00188,2012,1058
SSA_00291,1059,2186
SSA_00092,2143,1060
SSA_00104,2178,1061
SSA_00031,2094,1062
SSA_00022,1063,2246
SSA_00269,2145,1064
SSA_00224,1065,2099
SSA_00042,1066,2077
SSA_00134,1067,2306
SSA_00303,2004,1068
SSA_00171,1069,2313
SSA_00249,2088,1070
SSA_00220,1071,2057
SSA_00280,2290,1072
SSA_00367,1073,2209
SSA_00296,2200,1074
SSA_00067,2027,1075
SSA_00106,2078,1076
SSA_00155,2263,1077
SSA_00339,2115,1078
SSA_00216,1079,2047
SSA_00140,2005,1080
SSA_00263,1081,2160
SSA_00201,2317,1082
SSA_00228,1083,2062
SSA_00290,1084,2101
SSA_00211,1085,2292
SSA_00073,1086,2052
SSA_00230,2309,1087
SSA_00008,2087,1088
SSA_00082,2318,1089
SSA_00030,2067,1090
SSA_00049,2301,1091
SSA_00267,2247,1092
SSA_00197,1093,2154
SSA_00177,1094,2050
SSA_00128,1095,2312
SSA_00308,2021,1096
SSA_00307,2310,1097
SSA_00081,1098,2063
SSA_00292,1099,2104
SSA_00281,2054,1100
SSA_00091,2296,1101
SSA_00115,1102,2314
SSA_00231,2085,1103
SSA_00295,2001,1104
SSA_00306,2288,1105
SSA_00080,1106,2279
SSA_00234,2035,1107
SSA_00254,2175,1108
SSA_00027,1109,2128
SSA_00135,1110,2204
SSA_00007,1111,2253
SSA_00189,2199,1112
SSA_00005,2141,1113
SSA_00131,1114,2110
SSA_00152,2240,1115
SSA_00380,1116,2188
SSA_00001,1117,2228
SSA_00310,1118,2010
SSA_00064,1119,2161
SSA_00311,1120,2090
SSA_00185,1121,2069
SSA_00301,2315,1122
SSA_00145,2156,1123
SSA_00196,2294,1124
SSA_00203,2308,1125
SSA_00268,2299,1126
SSA_00089,1127,2019
SSA_00013,1128,2055
SSA_00285,1129,2249
SSA_00055,1130,2226
SSA_00250,1131,2109
SSA_00127,2238,1132
SSA_00190,2283,1133
SSA_00172,1134,2224
SSA_00035,1135,2266
SSA_00265,2166,1136
SSA_00033,1137,2298
SSA_00235,2150,1138
SSA_00085,2051,1139
SSA_00119,1140,2023
SSA_00040,1141,2153
SSA_00014,1142,2181
SSA_00144,1143,2248
SSA_00062,2066,1144
SSA_00056,1145,2068
SSA_00318,2053,1146
SSA_00279,1147,2289
SSA_00240,2060,1148
