"","x"
"1","1003_1"
"2","1003_2"
"3","1003_3"
"4","1019_1"
"5","1019_2"
"6","1019_3"
"7","1024_1"
"8","1024_2"
"9","1024_3"
"10","1030_1"
"11","1030_2"
"12","1030_3"
"13","1031_1"
"14","1031_2"
"15","1031_3"
"16","2041_1"
"17","2041_2"
"18","2041_3"
"19","1050_1"
"20","1050_2"
"21","1050_3"
"22","1055_1"
"23","1055_2"
"24","1055_3"
"25","1060_1"
"26","1060_2"
"27","1060_3"
"28","1065_1"
"29","1065_2"
"30","1065_3"
"31","2055_1"
"32","2055_2"
"33","2055_3"
"34","1080_1"
"35","1080_2"
"36","1080_3"
"37","2265_1"
"38","2265_2"
"39","2265_3"
"40","2198_1"
"41","2198_2"
"42","2198_3"
"43","1097_1"
"44","1097_2"
"45","1097_3"
"46","2043_1"
"47","2043_2"
"48","2043_3"
"49","1120_1"
"50","1120_2"
"51","1120_3"
"52","1128_1"
"53","1128_2"
"54","1128_3"
"55","2149_1"
"56","2149_2"
"57","2149_3"
"58","2164_1"
"59","2164_2"
"60","2164_3"
"61","1145_1"
"62","1145_2"
"63","1145_3"
"64","1147_1"
"65","1147_2"
"66","1147_3"
"67","1148_1"
"68","1148_2"
"69","1148_3"
"70","1152_1"
"71","1152_2"
"72","1152_3"
"73","2005_1"
"74","2005_2"
"75","2005_3"
"76","1157_1"
"77","1157_2"
"78","1157_3"
"79","2026_1"
"80","2026_2"
"81","2026_3"
"82","1166_1"
"83","1166_2"
"84","1166_3"
"85","1167_1"
"86","1167_2"
"87","1167_3"
"88","2159_1"
"89","2159_2"
"90","2159_3"
"91","2103_1"
"92","2103_2"
"93","2103_3"
"94","1190_1"
"95","1190_2"
"96","1190_3"
"97","2262_1"
"98","2262_2"
"99","2262_3"
"100","2098_1"
"101","2098_2"
"102","2098_3"
"103","1225_1"
"104","1225_2"
"105","1225_3"
"106","1237_1"
"107","1237_2"
"108","1237_3"
"109","2157_1"
"110","2157_2"
"111","2157_3"
"112","2238_1"
"113","2238_2"
"114","2238_3"
"115","2173_1"
"116","2173_2"
"117","2173_3"
"118","1280_1"
"119","1280_2"
"120","1280_3"
"121","2145_1"
"122","2145_2"
"123","2145_3"
"124","1291_1"
"125","1291_2"
"126","1291_3"
"127","2011_1"
"128","2011_2"
"129","2011_3"
"130","2311_1"
"131","2311_2"
"132","2311_3"
"133","1294_1"
"134","1294_2"
"135","1294_3"
"136","1313_1"
"137","1313_2"
"138","1313_3"
"139","1319_1"
"140","1319_2"
"141","1319_3"
"142","2267_1"
"143","2267_2"
"144","2267_3"
"145","2264_1"
"146","2264_2"
"147","2264_3"
"148","2155_1"
"149","2155_2"
"150","2155_3"
"151","2233_1"
"152","2233_2"
"153","2233_3"
"154","2051_1"
"155","2051_2"
"156","2051_3"
"157","1048_1"
"158","1048_2"
"159","1048_3"
"160","2186_1"
"161","2186_2"
"162","2186_3"
"163","2068_1"
"164","2068_2"
"165","2068_3"
"166","2139_1"
"167","2139_2"
"168","2139_3"
"169","2316_1"
"170","2316_2"
"171","2316_3"
"172","1071_1"
"173","1071_2"
"174","1071_3"
"175","2194_1"
"176","2194_2"
"177","2194_3"
"178","1081_1"
"179","1081_2"
"180","1081_3"
"181","1096_1"
"182","1096_2"
"183","1096_3"
"184","2170_1"
"185","2170_2"
"186","2170_3"
"187","1098_1"
"188","1098_2"
"189","1098_3"
"190","2205_1"
"191","2205_2"
"192","2205_3"
"193","2208_1"
"194","2208_2"
"195","2208_3"
"196","1131_1"
"197","1131_2"
"198","1131_3"
"199","1141_1"
"200","1141_2"
"201","1141_3"
"202","2085_1"
"203","2085_2"
"204","2085_3"
"205","2126_1"
"206","2126_2"
"207","2126_3"
"208","2268_1"
"209","2268_2"
"210","2268_3"
"211","2024_1"
"212","2024_2"
"213","2024_3"
"214","1153_1"
"215","1153_2"
"216","1153_3"
"217","2104_1"
"218","2104_2"
"219","2104_3"
"220","1159_1"
"221","1159_2"
"222","1159_3"
"223","2272_1"
"224","2272_2"
"225","2272_3"
"226","2084_1"
"227","2084_2"
"228","2084_3"
"229","1168_1"
"230","1168_2"
"231","1168_3"
"232","1184_1"
"233","1184_2"
"234","1184_3"
"235","2146_1"
"236","2146_2"
"237","2146_3"
"238","1195_1"
"239","1195_2"
"240","1195_3"
"241","1204_1"
"242","1204_2"
"243","1204_3"
"244","2241_1"
"245","2241_2"
"246","2241_3"
"247","2124_1"
"248","2124_2"
"249","2124_3"
"250","1238_1"
"251","1238_2"
"252","1238_3"
"253","1249_1"
"254","1249_2"
"255","1249_3"
"256","1255_1"
"257","1255_2"
"258","1255_3"
"259","2014_1"
"260","2014_2"
"261","2014_3"
"262","1281_1"
"263","1281_2"
"264","1281_3"
"265","2076_1"
"266","2076_2"
"267","2076_3"
"268","1292_1"
"269","1292_2"
"270","1292_3"
"271","1293_1"
"272","1293_2"
"273","1293_3"
"274","2042_1"
"275","2042_2"
"276","2042_3"
"277","2230_1"
"278","2230_2"
"279","2230_3"
"280","2257_1"
"281","2257_2"
"282","2257_3"
