Accession,group1,group2
SSA_00051,2272,1001
SSA_00161,1002,2015
SSA_00087,2222,1003
SSA_00209,2108,1004
SSA_00369,2256,1005
SSA_00255,2164,1006
SSA_00314,2234,1007
SSA_00053,2232,1008
SSA_00107,1009,2170
SSA_00075,1010,2284
SSA_00157,2250,1011
SSA_00313,2278,1012
SSA_00023,2124,1013
SSA_00154,1014,2208
SSA_00264,1015,2265
SSA_00287,1016,2218
SSA_00003,1017,2042
SSA_00187,2198,1018
SSA_00034,2038,1019
SSA_00200,2259,1020
SSA_00167,1021,2031
SSA_00029,2123,1022
SSA_00079,2280,1023
SSA_00179,1024,2211
SSA_00108,2146,1025
SSA_00212,2135,1026
SSA_00006,2304,1027
SSA_00132,2017,1028
SSA_00284,2241,1029
SSA_00232,1030,2071
SSA_00297,2142,1031
SSA_00010,2180,1032
SSA_00304,1033,2271
SSA_00258,1034,2251
SSA_00047,1035,2174
SSA_00164,2227,1036
SSA_00168,2203,1037
SSA_00026,2107,1038
SSA_00266,1039,2281
SSA_00180,2223,1040
SSA_00183,2036,1041
SSA_00262,1042,2028
SSA_00105,2195,1043
SSA_00286,2264,1044
SSA_00242,2113,1045
SSA_00261,1046,2212
SSA_00302,2074,1047
SSA_00259,1048,2045
SSA_00009,1049,2011
SSA_00205,1050,2185
SSA_00041,1051,2133
SSA_00086,2148,1052
SSA_00199,1053,2138
SSA_00136,1054,2163
SSA_00139,2089,1055
SSA_00044,1056,2184
SSA_00109,1057,2134
SSA_00188,1058,2012
SSA_00291,2186,1059
SSA_00092,2143,1060
SSA_00104,2178,1061
SSA_00031,1062,2094
SSA_00022,2246,1063
SSA_00269,2145,1064
SSA_00224,1065,2099
SSA_00042,1066,2077
SSA_00134,1067,2306
SSA_00303,2004,1068
SSA_00171,1069,2313
SSA_00249,1070,2088
SSA_00220,2057,1071
SSA_00280,1072,2290
SSA_00367,2209,1073
SSA_00296,2200,1074
SSA_00067,1075,2027
SSA_00106,1076,2078
SSA_00155,2263,1077
SSA_00339,1078,2115
SSA_00216,2047,1079
SSA_00140,2005,1080
SSA_00263,1081,2160
SSA_00201,2317,1082
SSA_00228,1083,2062
SSA_00290,2101,1084
SSA_00211,2292,1085
SSA_00073,2052,1086
SSA_00230,1087,2309
SSA_00008,1088,2087
SSA_00082,2318,1089
SSA_00030,1090,2067
SSA_00049,2301,1091
SSA_00267,1092,2247
SSA_00197,2154,1093
SSA_00177,2050,1094
SSA_00128,2312,1095
SSA_00308,1096,2021
SSA_00307,1097,2310
SSA_00081,1098,2063
SSA_00292,1099,2104
SSA_00281,2054,1100
SSA_00091,1101,2296
SSA_00115,2314,1102
SSA_00231,2085,1103
SSA_00295,1104,2001
SSA_00306,2288,1105
SSA_00080,1106,2279
SSA_00234,1107,2035
SSA_00254,1108,2175
SSA_00027,1109,2128
SSA_00135,1110,2204
SSA_00007,1111,2253
