0,1
1,0
2,3
5,4
6,9
7,11
8,14
10,16
12,19
13,21
15,22
17,27
18,28
20,30
23,32
24,33
25,34
26,38
29,39
31,40
35,45
36,46
37,51
41,53
42,54
43,55
44,57
47,58
48,60
49,61
50,62
52,63
56,64
59,65
67,66
68,70
69,73
71,74
72,75
76,77
80,78
81,79
82,83
84,86
85,88
87,89
90,91
95,92
97,93
99,94
102,96
105,98
106,100
108,101
109,103
110,104
111,107
112,113
116,114
117,115
120,118
123,119
124,121
128,122
131,125
135,126
136,127
140,129
141,130
142,132
144,133
145,134
149,137
150,138
152,139
154,143
155,146
156,147
157,148
161,151
162,153
163,158
164,159
165,160
167,166
169,168
174,170
175,171
176,172
179,173
182,177
185,178
187,180
189,181
190,183
191,184
192,186
194,188
195,193
197,196
198,201
199,202
200,203
204,205
208,206
210,207
211,209
212,213
215,214
218,216
219,217
220,222
221,224
223,226
225,227
229,228
230,231
233,232
234,235
236,237
239,238
240,242
241,243
245,244
246,247
248,251
249,252
250,253
256,254
258,255
259,257
260,261
262,267
263,269
264,272
265,273
266,274
268,275
270,277
271,278
276,279
281,280
283,282
284,285
286,287
294,288
295,289
297,290
298,291
299,292
303,293
304,296
305,300
306,301
308,302
310,307
311,309
