Accession,group1,group2
B1K-15-06,2213,1001
B1K-06-20,2256,1002
B1K-50-07,1003,2047
B1K-21-11,2057,1004
B1K-34-19,2019,1005
B1K-26-03,1006,2237
B1K-47-04,1007,2069
B1K-05-12,1008,2152
B1K-33-03,2099,1009
B1K-39-02,2168,1010
B1K-22-06,2118,1011
B1K-22-08,2090,1012
B1K-11-09,2002,1013
B1K-30-07,1014,2139
B1K-43-14,2200,1015
B1K-39-07,1016,2264
B1K-42-01,2107,1017
B1K-04-03,2254,1018
B1K-41-08,1019,2268
B1K-20-07,1020,2222
B1K-24-10,1021,2189
B1K-39-12,1022,2046
B1K-25-01,1023,2012
B1K-22-09,1024,2030
B1K-05-08,2157,1025
B1K-03-17,2092,1026
B1K-06-15,2063,1027
B1K-08-09,2202,1028
B1K-31-15,2234,1029
B1K-27-19,1030,2127
B1K-37-02,2142,1031
B1K-24-03,2169,1032
B1K-32-08,2058,1033
B1K-08-15,1034,2181
B1K-44-02,1035,2113
B1K-48-11,1036,2066
B1K-38-14,1037,2044
B1K-28-15,2015,1038
B1K-03-03,2211,1039
B1K-47-20,2153,1040
B1K-32-09,2271,1041
B1K-25-13,1042,2252
B1K-28-13,1043,2172
B1K-03-14,2104,1044
B1K-49-10,2031,1045
B1K-24-16,2137,1046
B1K-10-13,2204,1047
B1K-08-02,1048,2230
B1K-31-05,2007,1049
B1K-04-19,1050,2111
B1K-11-16,1051,2177
B1K-38-12,1052,2088
B1K-09-09,1053,2214
B1K-34-05,1054,2149
B1K-06-06,2026,1055
B1K-32-20,1056,2036
B1K-24-09,1057,2131
B1K-37-20,1058,2198
B1K-51-04,2120,1059
B1K-35-07,2259,1060
B1K-38-08,2162,1061
B1K-35-03,1062,2051
B1K-49-13,1063,2076
B1K-35-13,2253,1064
B1K-45-18,1065,2085
B1K-25-20,1066,2150
B1K-19-20,2039,1067
B1K-02-06,2193,1068
B1K-24-13,2050,1069
B1K-14-17,2173,1070
B1K-31-19,1071,2101
B1K-06-19,2121,1072
B1K-51-13,1073,2180
B1K-49-18,1074,2216
B1K-31-11,2005,1075
B1K-33-12,2246,1076
B1K-08-16,1077,2228
B1K-34-06,2071,1078
B1K-15-17,1079,2267
B1K-22-02,1080,2032
B1K-26-05,1081,2249
B1K-28-01,2236,1082
B1K-37-19,2055,1083
B1K-10-18,1084,2082
B1K-30-11,2037,1085
B1K-27-08,1086,2011
B1K-11-18,2114,1087
B1K-34-02,2029,1088
B1K-19-01,1089,2108
B1K-43-11,1090,2185
B1K-36-19,1091,2134
B1K-18-03,2065,1092
B1K-17-17,1093,2175
B1K-35-04,1094,2266
B1K-12-06,1095,2195
B1K-03-16,2220,1096
B1K-46-15,2059,1097
B1K-19-15,2130,1098
B1K-46-03,2009,1099
B1K-23-02,2034,1100
B1K-13-14,1101,2161
B1K-22-18,1102,2182
B1K-29-02,2151,1103
B1K-27-15,2068,1104
B1K-16-15,1105,2251
B1K-09-16,1106,2017
B1K-05-03,1107,2205
B1K-23-19,1108,2224
B1K-17-01,2116,1109
B1K-02-16,2084,1110
B1K-23-11,1111,2240
B1K-20-20,2110,1112
B1K-21-10,2257,1113
B1K-24-07,2194,1114
B1K-46-20,2166,1115
B1K-08-03,1116,2095
B1K-13-15,2033,1117
B1K-17-03,1118,2070
B1K-09-07,2098,1119
B1K-37-11,2124,1120
B1K-45-05,1121,2235
B1K-04-12,2160,1122
B1K-25-09,1123,2219
B1K-23-07,2008,1124
B1K-33-09,1125,2178
B1K-50-20,1126,2143
B1K-09-10,2248,1127
B1K-06-10,1128,2052
B1K-29-20,1129,2187
B1K-48-06,1130,2208
B1K-43-15,2163,1131
B1K-20-10,1132,2074
B1K-30-13,2004,1133
B1K-49-08,1134,2221
B1K-41-03,1135,2255
B1K-05-16,1136,2094
B1K-05-10,2061,1137
B1K-02-12,2133,1138
B1K-15-07,1139,2106
B1K-28-10,1140,2040
B1K-02-04,1141,2146
B1K-22-12,1142,2025
B1K-35-19,2233,1143
B1K-16-10,1144,2258
B1K-11-04,1145,2260
B1K-11-05,2226,1146
B1K-14-04,1147,2191
B1K-41-13,1148,2176
B1K-36-11,1149,2125
B1K-10-01,2028,1150
B1K-08-06,1151,2013
B1K-34-10,2038,1152
B1K-24-02,2083,1153
B1K-08-08,1154,2247
B1K-44-09,1155,2218
B1K-32-13,2197,1156
B1K-25-15,1157,2077
B1K-31-01,2159,1158
B1K-51-10,2144,1159
B1K-51-19,2102,1160
B1K-09-04,1161,2250
