0,1
0,1
2,4
3,6
5,7
8,9
13,10
14,11
15,12
16,17
22,18
23,19
24,20
25,21
26,27
28,32
29,35
30,36
31,37
33,38
34,41
39,43
40,44
42,47
45,48
46,49
51,50
52,55
53,56
54,59
57,60
58,63
61,66
62,67
64,68
65,69
70,71
72,75
73,77
74,78
76,79
82,80
84,81
85,83
86,87
89,88
91,90
92,94
93,95
102,96
103,97
104,98
105,99
109,100
110,101
111,106
113,107
114,108
115,112
117,116
122,118
124,119
126,120
128,121
130,123
132,125
134,127
135,129
136,131
137,133
138,142
139,143
140,146
141,147
144,151
145,152
148,154
149,155
150,156
153,157
158,162
159,164
160,165
161,166
163,168
167,171
169,172
170,175
173,176
174,178
177,180
179,183
181,184
182,188
185,192
186,193
187,196
189,199
190,205
191,207
194,208
195,210
197,211
198,212
200,214
201,215
202,216
203,217
204,218
206,221
209,223
213,224
219,225
220,226
222,228
227,230
229,231
233,232
235,234
236,237
240,238
242,239
249,241
251,243
252,244
253,245
258,246
259,247
260,248
261,250
262,254
263,255
264,256
265,257
266,267
269,268
271,270
