0,1
0,2
1,5
3,9
4,10
6,11
7,12
8,13
14,16
15,18
17,22
19,23
20,26
21,30
24,31
25,37
27,39
28,42
29,44
32,45
33,46
34,47
35,48
36,49
38,52
40,54
41,56
43,58
50,59
51,60
53,61
55,63
57,64
62,66
65,67
68,69
70,71
72,73
74,75
77,76
78,79
80,82
81,83
84,85
86,87
88,89
90,93
91,96
92,98
94,99
95,104
97,111
100,117
101,118
102,119
103,121
105,124
106,125
107,126
108,130
109,133
110,134
112,137
113,139
114,141
115,142
116,144
120,146
122,147
123,148
127,149
128,151
129,153
131,154
132,157
135,159
136,160
138,162
140,165
143,166
145,167
150,169
152,170
155,171
156,172
158,176
161,177
163,178
164,179
168,180
173,181
174,182
175,183
184,187
185,190
186,191
188,193
189,194
192,196
195,201
197,202
198,203
199,205
200,206
204,210
207,211
208,212
209,213
214,215
217,216
219,218
221,220
223,222
224,225
226,227
228,229
230,233
231,235
232,236
234,238
237,246
239,248
240,249
241,250
242,253
243,255
244,258
245,261
247,262
251,264
252,268
254,269
256,273
257,275
259,276
260,280
263,281
265,284
266,285
267,287
270,288
271,289
272,290
274,291
277,292
278,293
279,295
282,296
283,297
286,299
294,300
298,301
304,302
306,303
308,305
309,307
311,310
312,315
313,316
314,317
319,318
