Accession,group1,group2
SSA_151,2246,1001
SSA_045,2121,1002
SSA_369,2267,1003
SSA_253,1004,2216
SSA_313,2050,1005
SSA_134,2236,1006
SSA_004,2063,1007
SSA_307,2284,1008
SSA_293,1009,2141
SSA_008,2227,1010
SSA_154,1011,2221
SSA_263,1012,2107
SSA_240,2067,1013
SSA_017,1014,2192
SSA_111,2303,1015
SSA_162,1016,2131
SSA_258,2086,1017
SSA_098,2120,1018
SSA_302,2264,1019
SSA_120,1020,2202
SSA_093,2022,1021
SSA_199,2130,1022
SSA_201,2197,1023
SSA_044,2155,1024
SSA_243,2034,1025
SSA_214,2175,1026
SSA_299,1027,2320
SSA_236,1028,2248
SSA_064,2215,1029
SSA_264,1030,2233
SSA_078,1031,2051
SSA_338,1032,2286
SSA_048,1033,2305
SSA_041,2148,1034
SSA_122,1035,2179
SSA_016,2048,1036
SSA_001,1037,2161
SSA_278,1038,2004
SSA_301,1039,2015
SSA_130,1040,2078
SSA_287,2252,1041
SSA_186,2077,1042
SSA_076,1043,2151
SSA_025,2310,1044
SSA_341,1045,2163
SSA_018,2016,1046
SSA_155,2036,1047
SSA_114,2041,1048
SSA_081,2219,1049
SSA_308,2186,1050
SSA_194,1051,2142
SSA_277,2089,1052
SSA_297,2276,1053
SSA_279,2289,1054
SSA_314,1055,2068
SSA_043,2302,1056
SSA_037,2217,1057
SSA_265,1058,2071
SSA_055,2090,1059
SSA_219,1060,2139
SSA_173,2108,1061
SSA_183,1062,2188
SSA_216,2300,1063
SSA_002,2226,1064
SSA_011,1065,2316
SSA_195,1066,2285
SSA_262,1067,2169
SSA_182,2209,1068
SSA_315,2269,1069
SSA_246,2243,1070
SSA_353,1071,2055
SSA_080,1072,2234
SSA_275,1073,2115
SSA_023,2232,1074
SSA_099,1075,2082
SSA_215,2261,1076
SSA_062,1077,2206
SSA_035,1078,2023
SSA_213,1079,2135
SSA_210,2194,1080
SSA_255,2265,1081
SSA_285,2123,1082
SSA_015,1083,2160
SSA_082,2019,1084
SSA_139,1085,2057
SSA_091,1086,2113
SSA_097,2083,1087
SSA_066,1088,2258
SSA_242,1089,2106
SSA_129,2231,1090
SSA_311,1091,2140
SSA_083,1092,2203
SSA_039,1093,2132
SSA_054,1094,2114
SSA_121,2259,1095
SSA_238,1096,2198
SSA_019,1097,2170
SSA_290,1098,2043
SSA_249,2213,1099
SSA_141,1100,2317
SSA_116,1101,2312
SSA_366,1102,2255
SSA_051,2166,1103
SSA_085,2040,1104
SSA_178,2296,1105
SSA_344,2278,1106
SSA_208,2220,1107
SSA_168,2298,1108
SSA_172,1109,2185
SSA_013,2065,1110
SSA_090,2096,1111
SSA_143,2097,1112
SSA_187,1113,2297
SSA_126,2228,1114
SSA_174,2144,1115
SSA_300,1116,2191
SSA_305,1117,2136
SSA_166,2111,1118
SSA_227,2069,1119
SSA_272,2205,1120
SSA_288,1121,2304
SSA_200,2105,1122
SSA_161,2260,1123
SSA_191,2200,1124
SSA_244,1125,2225
SSA_119,2129,1126
SSA_147,1127,2143
SSA_386,2208,1128
SSA_150,1129,2309
SSA_235,1130,2174
SSA_207,2149,1131
SSA_282,1132,2167
SSA_138,2254,1133
SSA_170,2038,1134
SSA_135,1135,2313
SSA_103,2047,1136
SSA_241,1137,2035
SSA_102,1138,2253
SSA_250,2045,1139
SSA_112,2152,1140
SSA_056,1141,2164
SSA_228,2308,1142
SSA_007,2172,1143
SSA_317,2013,1144
SSA_233,1145,2085
SSA_144,1146,2058
SSA_060,2126,1147
SSA_252,2268,1148
SSA_033,2118,1149
SSA_218,2154,1150
SSA_113,2287,1151
SSA_226,2024,1152
SSA_284,1153,2005
SSA_100,2184,1154
SSA_046,2280,1155
SSA_110,2292,1156
SSA_049,1157,2104
SSA_077,2010,1158
SSA_034,2026,1159
SSA_286,1160,2075
SSA_010,2052,1161
SSA_088,2281,1162
SSA_038,1163,2059
SSA_380,2247,1164
SSA_006,2122,1165
SSA_196,1166,2272
SSA_127,1167,2084
SSA_359,1168,2159
SSA_271,2156,1169
SSA_068,1170,2235
SSA_149,1171,2060
SSA_171,1172,2244
SSA_145,2049,1173
SSA_259,2271,1174
SSA_204,2128,1175
SSA_108,2283,1176
SSA_239,2275,1177
SSA_101,2290,1178
SSA_310,1179,2008
SSA_003,2095,1180
SSA_075,2177,1181
SSA_403,1182,2223
SSA_283,2025,1183
SSA_131,1184,2103
SSA_367,2007,1185
SSA_014,1186,2180
SSA_274,1187,2165
SSA_105,1188,2044
SSA_294,2009,1189
SSA_030,1190,2146
SSA_289,1191,2079
SSA_223,1192,2029
SSA_188,2017,1193
SSA_095,2116,1194
SSA_197,1195,2262
SSA_193,2204,1196
SSA_084,1197,2061
SSA_059,1198,2158
SSA_212,1199,2088
SSA_032,1200,2196
SSA_159,1201,2093
SSA_009,2066,1202
SSA_137,2273,1203
SSA_343,2098,1204
SSA_071,1205,2001
SSA_291,2218,1206
SSA_063,1207,2032
SSA_316,2293,1208
SSA_050,2224,1209
SSA_181,2250,1210
SSA_229,2187,1211
SSA_303,1212,2070
SSA_040,2028,1213
SSA_089,2277,1214
SSA_225,1215,2091
SSA_053,2101,1216
SSA_254,1217,2033
SSA_295,1218,2291
SSA_376,1219,2053
SSA_057,1220,2240
SSA_152,2315,1221
SSA_022,2176,1222
SSA_061,2307,1223
SSA_202,1224,2210
SSA_203,2241,1225
SSA_087,2251,1226
SSA_273,1227,2037
SSA_156,1228,2171
SSA_221,2239,1229
SSA_012,2214,1230
SSA_179,1231,2054
SSA_177,1232,2318
SSA_354,2193,1233
SSA_245,2021,1234
SSA_304,2263,1235
SSA_185,2081,1236
SSA_209,1237,2124
SSA_106,2157,1238
SSA_052,1239,2117
SSA_096,2062,1240
SSA_148,1241,2245
SSA_164,2237,1242
SSA_072,2056,1243
SSA_067,2282,1244
SSA_128,2125,1245
SSA_267,2266,1246
SSA_296,1247,2211
SSA_146,2314,1248
SSA_070,2238,1249
SSA_024,1250,2319
SSA_234,1251,2249
SSA_281,1252,2162
SSA_123,1253,2212
SSA_073,2039,1254
SSA_189,1255,2173
SSA_176,2306,1256
SSA_125,2229,1257
SSA_142,2133,1258
SSA_058,2190,1259
SSA_312,2195,1260
SSA_220,1261,2201
SSA_157,2138,1262
SSA_298,2299,1263
SSA_175,1264,2109
SSA_117,1265,2064
SSA_153,2288,1266
SSA_190,2242,1267
SSA_224,1268,2153
SSA_104,1269,2018
SSA_261,1270,2127
SSA_167,1271,2270
SSA_031,1272,2087
SSA_092,2183,1273
SSA_248,2147,1274
SSA_269,1275,2074
SSA_232,1276,2100
SSA_115,1277,2027
SSA_027,1278,2046
SSA_217,2002,1279
SSA_065,2014,1280
SSA_256,2145,1281
SSA_086,1282,2012
SSA_021,1283,2073
SSA_163,2295,1284
SSA_180,1285,2006
SSA_047,1286,2031
SSA_257,2102,1287
SSA_237,2181,1288
SSA_020,2150,1289
SSA_140,2178,1290
SSA_124,2076,1291
SSA_036,2011,1292
SSA_306,1293,2311
SSA_079,1294,2042
SSA_247,1295,2256
SSA_339,1296,2168
SSA_222,1297,2030
SSA_318,1298,2279
SSA_211,1299,2294
SSA_160,2094,1300
SSA_107,1301,2003
SSA_346,1302,2099
SSA_132,1303,2182
SSA_292,2080,1304
SSA_109,1305,2301
SSA_026,1306,2274
SSA_005,1307,2222
SSA_184,1308,2072
SSA_230,1309,2092
SSA_309,1310,2110
SSA_042,1311,2189
SSA_133,1312,2137
SSA_266,2230,1313
SSA_094,2199,1314
SSA_280,2119,1315
SSA_169,2020,1316
SSA_029,2112,1317
SSA_205,2134,1318
SSA_136,2257,1319
SSA_118,1320,2207
