Accession,group1,group2
SSA_151,1001,2246
SSA_045,1002,2121
SSA_369,1003,2267
SSA_253,2216,1004
SSA_313,2050,1005
SSA_134,2236,1006
SSA_004,2063,1007
SSA_307,1008,2284
SSA_293,2141,1009
SSA_008,1010,2227
SSA_154,1011,2221
SSA_263,2107,1012
SSA_240,1013,2067
SSA_017,1014,2192
SSA_111,2303,1015
SSA_162,2131,1016
SSA_258,2086,1017
SSA_098,2120,1018
SSA_302,2264,1019
SSA_120,2202,1020
SSA_093,2022,1021
SSA_199,1022,2130
SSA_201,1023,2197
SSA_044,1024,2155
SSA_243,2034,1025
SSA_214,2175,1026
SSA_299,2320,1027
SSA_236,1028,2248
SSA_064,1029,2215
SSA_264,1030,2233
SSA_078,1031,2051
SSA_338,2286,1032
SSA_048,2305,1033
SSA_041,2148,1034
SSA_122,1035,2179
SSA_016,2048,1036
SSA_001,2161,1037
SSA_278,1038,2004
SSA_301,2015,1039
SSA_130,1040,2078
SSA_287,2252,1041
SSA_186,1042,2077
SSA_076,2151,1043
SSA_025,2310,1044
SSA_341,1045,2163
SSA_018,2016,1046
SSA_155,1047,2036
SSA_114,1048,2041
SSA_081,2219,1049
SSA_308,2186,1050
SSA_194,1051,2142
SSA_277,2089,1052
SSA_297,2276,1053
SSA_279,2289,1054
SSA_314,1055,2068
SSA_043,1056,2302
SSA_037,1057,2217
SSA_265,1058,2071
SSA_055,2090,1059
SSA_219,1060,2139
SSA_173,2108,1061
SSA_183,1062,2188
SSA_216,2300,1063
SSA_002,1064,2226
SSA_011,2316,1065
SSA_195,2285,1066
SSA_262,1067,2169
SSA_182,2209,1068
SSA_315,1069,2269
SSA_246,2243,1070
SSA_353,2055,1071
SSA_080,1072,2234
SSA_275,1073,2115
SSA_023,1074,2232
SSA_099,2082,1075
SSA_215,1076,2261
SSA_062,1077,2206
SSA_035,1078,2023
SSA_213,2135,1079
SSA_210,1080,2194
SSA_255,2265,1081
SSA_285,2123,1082
SSA_015,2160,1083
SSA_082,1084,2019
SSA_139,1085,2057
SSA_091,1086,2113
SSA_097,2083,1087
SSA_066,2258,1088
SSA_242,2106,1089
SSA_129,1090,2231
SSA_311,1091,2140
SSA_083,1092,2203
SSA_039,1093,2132
SSA_054,2114,1094
SSA_121,2259,1095
SSA_238,1096,2198
SSA_019,2170,1097
SSA_290,2043,1098
SSA_249,2213,1099
SSA_141,2317,1100
SSA_116,1101,2312
SSA_366,2255,1102
SSA_051,1103,2166
SSA_085,1104,2040
SSA_178,2296,1105
SSA_344,2278,1106
SSA_208,2220,1107
SSA_168,2298,1108
SSA_172,2185,1109
SSA_013,2065,1110
SSA_090,1111,2096
SSA_143,1112,2097
SSA_187,2297,1113
SSA_126,1114,2228
SSA_174,1115,2144
SSA_300,2191,1116
SSA_305,2136,1117
SSA_166,2111,1118
SSA_227,1119,2069
SSA_272,2205,1120
SSA_288,2304,1121
SSA_200,2105,1122
SSA_161,1123,2260
SSA_191,2200,1124
SSA_244,1125,2225
SSA_119,2129,1126
SSA_147,2143,1127
SSA_386,2208,1128
SSA_150,1129,2309
SSA_235,2174,1130
SSA_207,1131,2149
SSA_282,2167,1132
SSA_138,1133,2254
SSA_170,1134,2038
SSA_135,1135,2313
SSA_103,1136,2047
SSA_241,2035,1137
SSA_102,2253,1138
SSA_250,2045,1139
SSA_112,2152,1140
SSA_056,2164,1141
SSA_228,1142,2308
SSA_007,1143,2172
SSA_317,1144,2013
SSA_233,2085,1145
SSA_144,1146,2058
SSA_060,2126,1147
SSA_252,1148,2268
SSA_033,1149,2118
SSA_218,1150,2154
SSA_113,2287,1151
SSA_226,1152,2024
SSA_284,1153,2005
SSA_100,2184,1154
SSA_046,1155,2280
SSA_110,2292,1156
SSA_049,2104,1157
SSA_077,2010,1158
SSA_034,1159,2026
SSA_286,1160,2075
SSA_010,1161,2052
SSA_088,2281,1162
SSA_038,1163,2059
SSA_380,1164,2247
SSA_006,2122,1165
SSA_196,1166,2272
SSA_127,2084,1167
SSA_359,2159,1168
SSA_271,1169,2156
SSA_068,2235,1170
SSA_149,1171,2060
SSA_171,1172,2244
SSA_145,2049,1173
SSA_259,2271,1174
SSA_204,2128,1175
SSA_108,2283,1176
SSA_239,1177,2275
SSA_101,2290,1178
SSA_310,1179,2008
SSA_003,1180,2095
SSA_075,2177,1181
SSA_403,1182,2223
SSA_283,1183,2025
SSA_131,1184,2103
SSA_367,1185,2007
SSA_014,1186,2180
SSA_274,1187,2165
SSA_105,1188,2044
SSA_294,1189,2009
SSA_030,2146,1190
SSA_289,1191,2079
SSA_223,1192,2029
SSA_188,2017,1193
SSA_095,2116,1194
SSA_197,2262,1195
SSA_193,1196,2204
SSA_084,1197,2061
SSA_059,2158,1198
SSA_212,2088,1199
SSA_032,1200,2196
SSA_159,2093,1201
SSA_009,2066,1202
SSA_137,1203,2273
SSA_343,1204,2098
SSA_071,1205,2001
SSA_291,1206,2218
SSA_063,1207,2032
SSA_316,2293,1208
SSA_050,1209,2224
SSA_181,1210,2250
SSA_229,2187,1211
SSA_303,1212,2070
SSA_040,2028,1213
SSA_089,1214,2277
SSA_225,1215,2091
SSA_053,2101,1216
SSA_254,2033,1217
SSA_295,2291,1218
SSA_376,2053,1219
SSA_057,2240,1220
SSA_152,2315,1221
SSA_022,1222,2176
SSA_061,2307,1223
SSA_202,1224,2210
SSA_203,2241,1225
SSA_087,1226,2251
SSA_273,2037,1227
SSA_156,1228,2171
SSA_221,2239,1229
SSA_012,1230,2214
SSA_179,1231,2054
SSA_177,2318,1232
SSA_354,1233,2193
SSA_245,1234,2021
SSA_304,2263,1235
SSA_185,2081,1236
SSA_209,2124,1237
SSA_106,2157,1238
SSA_052,2117,1239
SSA_096,2062,1240
SSA_148,1241,2245
SSA_164,2237,1242
SSA_072,2056,1243
SSA_067,1244,2282
SSA_128,2125,1245
SSA_267,2266,1246
SSA_296,1247,2211
SSA_146,2314,1248
SSA_070,2238,1249
SSA_024,2319,1250
SSA_234,1251,2249
SSA_281,1252,2162
SSA_123,1253,2212
SSA_073,2039,1254
SSA_189,1255,2173
SSA_176,1256,2306
SSA_125,1257,2229
SSA_142,2133,1258
SSA_058,2190,1259
SSA_312,1260,2195
SSA_220,2201,1261
SSA_157,2138,1262
