Accession,group1,group2
B1K-15-06,2213,1001
B1K-06-20,2256,1002
B1K-50-07,2047,1003
B1K-21-11,2057,1004
B1K-34-19,1005,2019
B1K-26-03,2237,1006
B1K-47-04,1007,2069
B1K-05-12,1008,2152
B1K-33-03,1009,2099
B1K-39-02,1010,2168
B1K-22-06,1011,2118
B1K-22-08,1012,2090
B1K-11-09,1013,2002
B1K-30-07,2139,1014
B1K-43-14,2200,1015
B1K-39-07,1016,2264
B1K-42-01,1017,2107
B1K-04-03,1018,2254
B1K-41-08,2268,1019
B1K-20-07,2222,1020
B1K-24-10,2189,1021
B1K-39-12,1022,2046
B1K-25-01,2012,1023
B1K-22-09,2030,1024
B1K-05-08,1025,2157
B1K-03-17,1026,2092
B1K-06-15,1027,2063
B1K-08-09,2202,1028
B1K-31-15,1029,2234
B1K-27-19,1030,2127
B1K-37-02,1031,2142
B1K-24-03,2169,1032
B1K-32-08,1033,2058
B1K-08-15,2181,1034
B1K-44-02,1035,2113
B1K-48-11,2066,1036
B1K-38-14,2044,1037
B1K-28-15,2015,1038
B1K-03-03,1039,2211
B1K-47-20,1040,2153
B1K-32-09,2271,1041
B1K-25-13,2252,1042
B1K-28-13,2172,1043
B1K-03-14,2104,1044
B1K-49-10,1045,2031
B1K-24-16,2137,1046
B1K-10-13,1047,2204
B1K-08-02,1048,2230
B1K-31-05,2007,1049
B1K-04-19,1050,2111
B1K-11-16,1051,2177
B1K-38-12,2088,1052
B1K-09-09,2214,1053
B1K-34-05,1054,2149
B1K-06-06,2026,1055
B1K-32-20,1056,2036
B1K-24-09,2131,1057
B1K-37-20,1058,2198
B1K-51-04,2120,1059
B1K-35-07,1060,2259
B1K-38-08,1061,2162
B1K-35-03,1062,2051
B1K-49-13,2076,1063
B1K-35-13,2253,1064
B1K-45-18,2085,1065
B1K-25-20,1066,2150
B1K-19-20,2039,1067
B1K-02-06,2193,1068
B1K-24-13,1069,2050
B1K-14-17,2173,1070
B1K-31-19,2101,1071
B1K-06-19,1072,2121
B1K-51-13,1073,2180
B1K-49-18,1074,2216
B1K-31-11,2005,1075
B1K-33-12,2246,1076
B1K-08-16,2228,1077
B1K-34-06,1078,2071
B1K-15-17,1079,2267
B1K-22-02,1080,2032
B1K-26-05,2249,1081
B1K-28-01,2236,1082
B1K-37-19,2055,1083
B1K-10-18,1084,2082
B1K-30-11,1085,2037
B1K-27-08,2011,1086
B1K-11-18,1087,2114
B1K-34-02,2029,1088
B1K-19-01,2108,1089
B1K-43-11,1090,2185
B1K-36-19,1091,2134
B1K-18-03,2065,1092
B1K-17-17,2175,1093
B1K-35-04,2266,1094
B1K-12-06,1095,2195
B1K-03-16,2220,1096
B1K-46-15,1097,2059
B1K-19-15,2130,1098
B1K-46-03,2009,1099
B1K-23-02,1100,2034
B1K-13-14,1101,2161
B1K-22-18,1102,2182
B1K-29-02,2151,1103
B1K-27-15,2068,1104
B1K-16-15,2251,1105
B1K-09-16,1106,2017
B1K-05-03,2205,1107
B1K-23-19,2224,1108
B1K-17-01,2116,1109
B1K-02-16,2084,1110
B1K-23-11,1111,2240
B1K-20-20,1112,2110
B1K-21-10,1113,2257
B1K-24-07,2194,1114
B1K-46-20,2166,1115
B1K-08-03,1116,2095
B1K-13-15,1117,2033
B1K-17-03,1118,2070
B1K-09-07,1119,2098
B1K-37-11,2124,1120
B1K-45-05,1121,2235
B1K-04-12,2160,1122
B1K-25-09,2219,1123
B1K-23-07,2008,1124
B1K-33-09,1125,2178
B1K-50-20,2143,1126
B1K-09-10,2248,1127
B1K-06-10,1128,2052
B1K-29-20,2187,1129
B1K-48-06,1130,2208
B1K-43-15,2163,1131
B1K-20-10,2074,1132
B1K-30-13,2004,1133
B1K-49-08,2221,1134
B1K-41-03,2255,1135
B1K-05-16,1136,2094
B1K-05-10,2061,1137
B1K-02-12,2133,1138
B1K-15-07,2106,1139
B1K-28-10,1140,2040
B1K-02-04,2146,1141
B1K-22-12,1142,2025
B1K-35-19,2233,1143
B1K-16-10,1144,2258
B1K-11-04,2260,1145
B1K-11-05,1146,2226
B1K-14-04,1147,2191
B1K-41-13,1148,2176
B1K-36-11,2125,1149
B1K-10-01,2028,1150
B1K-08-06,2013,1151
B1K-34-10,1152,2038
B1K-24-02,1153,2083
B1K-08-08,1154,2247
B1K-44-09,2218,1155
B1K-32-13,1156,2197
B1K-25-15,2077,1157
B1K-31-01,1158,2159
B1K-51-10,2144,1159
B1K-51-19,2102,1160
B1K-09-04,2250,1161
