Accession,group1,group2
B1K-15-06,1001,2213
B1K-06-20,2256,1002
B1K-50-07,2047,1003
B1K-21-11,2057,1004
B1K-34-19,1005,2019
B1K-26-03,2237,1006
B1K-47-04,2069,1007
B1K-05-12,1008,2152
B1K-33-03,2099,1009
B1K-39-02,1010,2168
B1K-22-06,2118,1011
B1K-22-08,1012,2090
B1K-11-09,2002,1013
B1K-30-07,2139,1014
B1K-43-14,1015,2200
B1K-39-07,2264,1016
B1K-42-01,1017,2107
B1K-04-03,2254,1018
B1K-41-08,2268,1019
B1K-20-07,1020,2222
B1K-24-10,1021,2189
B1K-39-12,2046,1022
B1K-25-01,1023,2012
B1K-22-09,1024,2030
B1K-05-08,2157,1025
B1K-03-17,2092,1026
B1K-06-15,1027,2063
B1K-08-09,2202,1028
B1K-31-15,1029,2234
B1K-27-19,1030,2127
B1K-37-02,1031,2142
B1K-24-03,2169,1032
B1K-32-08,1033,2058
B1K-08-15,1034,2181
B1K-44-02,1035,2113
B1K-48-11,1036,2066
B1K-38-14,2044,1037
B1K-28-15,2015,1038
B1K-03-03,1039,2211
B1K-47-20,2153,1040
B1K-32-09,1041,2271
B1K-25-13,2252,1042
B1K-28-13,1043,2172
B1K-03-14,2104,1044
B1K-49-10,2031,1045
B1K-24-16,2137,1046
B1K-10-13,1047,2204
B1K-08-02,2230,1048
B1K-31-05,2007,1049
B1K-04-19,2111,1050
B1K-11-16,1051,2177
B1K-38-12,2088,1052
B1K-09-09,1053,2214
B1K-34-05,1054,2149
B1K-06-06,1055,2026
B1K-32-20,2036,1056
B1K-24-09,1057,2131
B1K-37-20,1058,2198
B1K-51-04,1059,2120
B1K-35-07,2259,1060
B1K-38-08,2162,1061
B1K-35-03,2051,1062
B1K-49-13,2076,1063
B1K-35-13,2253,1064
B1K-45-18,1065,2085
B1K-25-20,2150,1066
B1K-19-20,1067,2039
B1K-02-06,1068,2193
B1K-24-13,1069,2050
B1K-14-17,2173,1070
B1K-31-19,2101,1071
B1K-06-19,2121,1072
B1K-51-13,2180,1073
B1K-49-18,2216,1074
B1K-31-11,1075,2005
B1K-33-12,1076,2246
